index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times_Sunday 12 p.m.,popular_times,popular_times_Wednesday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 a.m.,popular_times_Thursday 12 a.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 a.m.
0,Urban Outfitters,"822-830 Granville St, Vancouver, BC V6Z 1K3",Clothing store,49.28082,-123.12007,,,,,,,0%,0%,0%,0%,11%,22%,,72%,45%,40%,50%,52%,38%,13%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,15%,,29%,90%,45%,45%,45%,45%,15%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,6%,43%,,47%,31%,100%,40%,43%,27%,29%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,6%,20%,,43%,43%,34%,95%,43%,27%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,18%,6%,,45%,43%,36%,40%,90%,34%,15%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,9%,31%,,45%,38%,52%,54%,36%,59%,15%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,6%,20%,,36%,47%,40%,52%,47%,22%,25%,0%,0%,0%,0%,31%,36%,22%,52%,36%,15%,52%,,,,,,,,
9,Munari Apparel MX,"939 Beatty St, Vancouver, BC V6Z 3C1",Clothing store,49.27635,-123.11651,,6%,,,,30%,,,40%,16%,,23%,,,,50%,70%,,30%,30%,,,13%,0%,,,10%,,,,36%,,,73%,10%,,,6%,,,66%,66%,,16%,36%,,,10%,,,,26%,,,0%,30%,,,66%,10%,,20%,13%,,,73%,63%,,13%,40%,,,,0%,,,0%,,,0%,50%,,,43%,,,40%,6%,,,46%,60%,,0%,50%,,,,0%,,,3%,0%,,0%,46%,,,,53%,,30%,3%,,,23%,60%,,0%,33%,,,,0%,,,10%,0%,,33%,23%,,,56%,100%,,20%,3%,,,16%,0%,,0%,,,,,50%,,,23%,0%,,46%,6%,,,53%,100%,,16%,13%,,,26%,0%,,6%,16%,,30%,36%,,,,0%,10%,,,,,
13,Mark's,"Kingsgate Mall, 370 E Broadway Unit 117, Vancouver, BC V5T 4G5",Clothing store,49.26235,-123.09712,,,,,,,0%,0%,0%,0%,44%,79%,,95%,88%,72%,83%,100%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,37%,0%,55%,,43%,95%,90%,55%,0%,83%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,22%,40%,55%,,91%,54%,91%,62%,37%,0%,65%,0%,0%,0%,0%,,,,,,,0%,0%,0%,47%,40%,43%,,73%,80%,68%,100%,47%,0%,0%,41%,0%,0%,0%,,,,,,,0%,0%,0%,20%,61%,45%,,76%,75%,73%,65%,81%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,30%,37%,83%,,81%,79%,79%,66%,56%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,18%,48%,43%,,79%,83%,100%,88%,43%,0%,0%,0%,0%,0%,0%,41%,83%,75%,62%,73%,58%,88%,,,,,,,,
14,Athleta,"1035 Robson St CRU 1, Vancouver, BC V6E 4A9",Clothing store,49.09175,-123.05039,,,,,,,0%,0%,0%,0%,33%,33%,,33%,16%,25%,25%,41%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,66%,,58%,25%,33%,50%,50%,58%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,25%,0%,,33%,41%,16%,25%,50%,0%,25%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,75%,8%,,25%,33%,25%,16%,41%,33%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,58%,,8%,25%,16%,8%,41%,16%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,58%,8%,,0%,16%,25%,25%,8%,25%,8%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,33%,100%,,25%,8%,16%,41%,8%,16%,0%,0%,0%,0%,0%,91%,33%,33%,0%,8%,66%,16%,,,,,,,,
18,RDNKN Clothing and Apparel,"1651 Harwood St, Vancouver, BC V6G 1Y2",Clothing store,49.28448,-123.1413,,11%,11%,55%,66%,77%,22%,11%,44%,44%,22%,22%,,11%,11%,33%,0%,0%,33%,44%,0%,0%,77%,44%,,55%,33%,44%,33%,33%,33%,11%,0%,66%,22%,44%,,0%,22%,11%,33%,0%,0%,33%,88%,0%,0%,66%,,0%,22%,66%,0%,33%,22%,11%,0%,0%,44%,0%,,0%,0%,11%,22%,22%,0%,0%,11%,66%,0%,0%,,44%,0%,22%,22%,11%,44%,22%,0%,0%,11%,22%,,22%,0%,0%,0%,44%,22%,33%,0%,22%,44%,0%,,11%,11%,0%,66%,11%,22%,22%,44%,11%,11%,22%,,11%,0%,0%,0%,0%,22%,11%,66%,11%,22%,22%,,33%,33%,11%,55%,88%,0%,55%,11%,33%,0%,22%,,0%,0%,0%,0%,0%,0%,11%,11%,100%,0%,11%,,0%,33%,77%,100%,33%,33%,22%,66%,11%,33%,0%,,22%,11%,0%,0%,11%,22%,0%,0%,33%,66%,11%,11%,11%,22%,0%,0%,22%,11%,,44%,0%,22%,11%,0%,11%,0%
24,COS,"1070 Robson St, Vancouver, BC V6E 1A7",Clothing store,49.2842,-123.12446,,,,,,,0%,0%,0%,0%,42%,28%,,22%,28%,34%,100%,40%,37%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,74%,,54%,37%,31%,11%,57%,65%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,28%,54%,,54%,51%,54%,28%,0%,0%,60%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,40%,42%,,51%,42%,37%,74%,40%,2%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,37%,37%,,42%,48%,37%,25%,62%,31%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,8%,37%,,85%,65%,31%,51%,34%,40%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,28%,28%,,20%,71%,77%,34%,51%,17%,37%,0%,0%,0%,0%,42%,40%,77%,42%,80%,22%,22%,,,,,,,,
29,Helly Hansen,"766 Granville St, Vancouver, BC V6Z 1E4",Sportswear store,49.28169,-123.1191,,,,,,,0%,0%,0%,0%,36%,27%,,68%,31%,9%,59%,40%,31%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,13%,59%,,54%,90%,45%,22%,36%,54%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,18%,18%,,36%,40%,81%,63%,13%,27%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,4%,13%,,45%,22%,45%,100%,63%,13%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,18%,18%,,68%,22%,13%,50%,77%,50%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,18%,40%,,18%,90%,27%,27%,36%,59%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,13%,36%,,18%,13%,68%,22%,27%,18%,0%,0%,0%,0%,0%,68%,36%,36%,45%,18%,18%,59%,,,,,,,,
45,Aritzia,"1100 Robson St, Vancouver, BC V6E 1B2",Women's clothing store,49.28463,-123.12513,,,,,,,0%,0%,0%,0%,15%,23%,,75%,40%,35%,76%,74%,61%,47%,83%,0%,0%,0%,,,,,,,0%,0%,0%,0%,14%,31%,,38%,82%,33%,41%,75%,93%,57%,35%,0%,0%,0%,,,,,,,0%,0%,0%,0%,12%,32%,,41%,39%,86%,34%,48%,76%,95%,42%,0%,0%,0%,,,,,,,0%,0%,0%,0%,15%,23%,,54%,36%,40%,91%,50%,53%,66%,77%,0%,0%,0%,,,,,,,0%,0%,0%,0%,15%,31%,,68%,53%,35%,42%,98%,57%,48%,46%,0%,0%,0%,,,,,,,0%,0%,0%,0%,10%,33%,,37%,76%,53%,40%,47%,100%,56%,35%,0%,0%,0%,,,,,,,0%,0%,0%,0%,12%,20%,,48%,35%,76%,60%,52%,52%,99%,40%,0%,0%,0%,31%,36%,46%,53%,34%,47%,56%,,,,,,,,
48,Arc'teryx Vancouver,"813 Burrard St, Vancouver, BC V6Z 1X8",Sportswear store,49.28322,-123.12347,,,,,,,0%,0%,0%,0%,15%,37%,,83%,39%,37%,77%,94%,15%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,35%,32%,,67%,90%,58%,58%,62%,73%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,11%,52%,,49%,45%,92%,58%,47%,39%,43%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,13%,30%,,47%,37%,50%,92%,66%,28%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,33%,18%,,69%,75%,32%,56%,71%,33%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,45%,43%,,39%,77%,86%,16%,66%,52%,26%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,15%,66%,,37%,35%,90%,100%,16%,32%,41%,0%,0%,0%,0%,69%,50%,45%,62%,41%,33%,56%,,,,,,,,
55,TreeTop apparel,"2772 Fir St, Vancouver, BC V6J 3C1",Clothing store,49.26104,-123.14076,,0%,30%,10%,40%,30%,10%,30%,10%,20%,0%,40%,,70%,50%,10%,30%,10%,80%,0%,10%,0%,20%,50%,,0%,0%,10%,60%,90%,70%,10%,40%,10%,60%,10%,,0%,60%,50%,20%,10%,0%,100%,0%,20%,0%,50%,,30%,20%,30%,20%,60%,40%,100%,40%,70%,50%,50%,,20%,10%,40%,20%,10%,10%,0%,50%,20%,40%,0%,,20%,50%,50%,40%,10%,60%,20%,60%,30%,40%,50%,,30%,40%,0%,50%,10%,0%,30%,0%,20%,50%,30%,,10%,10%,60%,40%,80%,0%,50%,20%,40%,30%,40%,,60%,40%,20%,10%,30%,0%,20%,10%,0%,0%,80%,,50%,20%,20%,10%,30%,40%,0%,30%,40%,20%,40%,,40%,30%,20%,20%,20%,40%,0%,20%,20%,0%,0%,,20%,20%,50%,10%,30%,40%,20%,10%,10%,80%,10%,,70%,20%,20%,10%,40%,10%,10%,0%,20%,40%,0%,0%,30%,30%,50%,80%,40%,90%,,50%,0%,0%,20%,0%,30%,40%
