index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Thursday 12 a.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.
0,CIBC Branch with ATM,"501 Main St, Vancouver, BC V6A 2V2",Bank,49.28031,-123.10023,,,,,,,,0%,0%,23%,41%,92%,,,75%,86%,55%,0%,0%,0%,,0%,0%,0%,,,,,,,0%,,0%,48%,41%,44%,,88%,,70%,63%,0%,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,44%,79%,57%,,83%,73%,,63%,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,67%,97%,,58%,76%,64%,,0%,0%,0%,0%,0%,0%,,,,,,,,0%,0%,0%,35%,,72%,,60%,54%,73%,42%,,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,44%,64%,,,89%,66%,36%,64%,0%,,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,23%,72%,94%,,70%,92%,73%,0%,0%,0%,,0%,0%,0%,0%,95%,92%,54%,52%,100%,72%,,,,,,,,,
2,TD Canada Trust Branch and ATM,"450 Main St, Vancouver, BC V6A 2T4",Bank,49.28062,-123.09946,,,,,,,,0%,0%,8%,15%,50%,,,100%,50%,74%,0%,0%,0%,,0%,0%,0%,,,,,,,0%,,0%,18%,17%,31%,,54%,,88%,42%,48%,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,30%,28%,35%,,82%,65%,,58%,30%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,58%,51%,,47%,60%,67%,,35%,0%,0%,0%,0%,0%,,,,,,,,0%,0%,0%,34%,,80%,,55%,34%,41%,68%,,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,22%,42%,,,64%,61%,22%,21%,45%,,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,20%,27%,42%,,100%,45%,84%,0%,17%,0%,,0%,0%,0%,0%,50%,77%,41%,47%,62%,87%,,,,,,,,,
3,Scotiabank,"268 Keefer St #101, Vancouver, BC V6A 1X5",Bank,49.27933,-123.09833,,,,,,,,0%,0%,28%,,75%,,,83%,69%,0%,,0%,0%,,0%,0%,0%,,,,,,,0%,,0%,37%,39%,,,98%,,78%,0%,0%,,0%,0%,,0%,0%,,,,,,,0%,0%,,47%,58%,57%,,81%,87%,,73%,0%,0%,,0%,0%,,0%,,,,,,,,0%,0%,,61%,78%,,,76%,68%,,0%,0%,0%,,0%,0%,,,,,,,,0%,,0%,52%,,85%,,71%,,71%,0%,,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,47%,79%,,,86%,62%,,52%,0%,,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,67%,88%,,83%,79%,57%,,0%,0%,,0%,0%,0%,,100%,78%,,64%,77%,84%,,,,,,,,,
5,CIBC Branch with ATM,"400 Burrard St, Vancouver, BC V6C 3A6",Bank,49.2868,-123.11722,,,,,,,,0%,0%,33%,,57%,,,66%,73%,37%,,0%,0%,,0%,0%,0%,,,,,,,0%,,0%,41%,49%,,,73%,,58%,45%,0%,,0%,0%,,0%,0%,,,,,,,0%,0%,,26%,51%,80%,,44%,81%,,42%,0%,0%,,0%,0%,,0%,,,,,,,,0%,0%,,42%,70%,,,47%,74%,,0%,0%,0%,,0%,0%,,,,,,,,0%,,0%,41%,,57%,,89%,,55%,66%,,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,50%,51%,,,88%,71%,,57%,0%,,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,59%,62%,,72%,79%,52%,,0%,0%,,0%,0%,0%,,68%,45%,,100%,74%,65%,,,,,,,,,
9,TD Canada Trust Branch and ATM,"700 W Georgia St, Vancouver, BC V7Y 1A2",Bank,49.28377,-123.11704,,,,,,,,0%,0%,21%,35%,50%,,,83%,68%,66%,0%,62%,0%,,0%,0%,0%,,,,,,,0%,,0%,21%,36%,54%,,65%,,89%,66%,53%,0%,41%,0%,,0%,0%,,,,,,,0%,0%,,20%,35%,49%,,69%,68%,,92%,55%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,35%,47%,,93%,74%,69%,,88%,0%,0%,0%,0%,0%,,,,,,,,0%,0%,0%,22%,,50%,,66%,100%,78%,64%,,72%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,21%,36%,,,62%,70%,87%,81%,52%,,48%,0%,0%,0%,0%,,,,,,,0%,0%,0%,18%,35%,50%,,74%,66%,72%,0%,76%,0%,,0%,0%,0%,0%,60%,62%,74%,60%,57%,64%,,,,,,,,,
11,CIBC Branch with ATM,"1036 W Georgia St, Vancouver, BC V6E 3C7",Bank,49.28489,-123.12221,,,,,,,,0%,0%,13%,,71%,,,56%,75%,37%,,0%,0%,,0%,0%,0%,,,,,,,0%,,0%,47%,28%,,,86%,,54%,58%,0%,,0%,0%,,0%,0%,,,,,,,0%,0%,,43%,56%,62%,,73%,84%,,54%,0%,0%,,0%,0%,,0%,,,,,,,,0%,0%,,73%,66%,,,49%,56%,,0%,0%,0%,,0%,0%,,,,,,,,0%,,0%,26%,,92%,,100%,,26%,28%,,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,33%,50%,,,58%,100%,,16%,0%,,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,47%,62%,,71%,62%,75%,,0%,0%,,0%,0%,0%,,84%,77%,,81%,64%,88%,,,,,,,,,
12,RBC Royal Bank,"1025 W Georgia St, Vancouver, BC V6E 3N9",Bank,49.285,-123.12129,,,,,,,,0%,0%,32%,,86%,,,78%,78%,52%,,0%,0%,,0%,0%,0%,,,,,,,0%,,0%,36%,48%,,,90%,,67%,58%,0%,,0%,0%,,0%,0%,,,,,,,0%,0%,,37%,57%,64%,,98%,85%,,48%,0%,0%,,0%,0%,,0%,,,,,,,,0%,0%,,57%,74%,,,91%,74%,,0%,0%,0%,,0%,0%,,,,,,,,0%,,0%,41%,,74%,,76%,,73%,58%,,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,44%,63%,,,91%,74%,,52%,0%,,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,68%,81%,,83%,89%,67%,,0%,0%,,0%,0%,0%,,95%,100%,,74%,88%,82%,,,,,,,,,
13,RBC Royal Bank,"685 W Hastings St, Vancouver, BC V6B 1N9",Bank,49.2853,-123.11362,,,,,,,,0%,0%,19%,,33%,,,80%,80%,100%,,0%,0%,,0%,0%,0%,,,,,,,0%,,0%,9%,19%,,,47%,,85%,76%,0%,,0%,0%,,0%,0%,,,,,,,0%,0%,,42%,23%,28%,,80%,61%,,80%,0%,0%,,0%,0%,,0%,,,,,,,,0%,0%,,52%,38%,,,100%,71%,,0%,0%,0%,,0%,0%,,,,,,,,0%,,0%,19%,,52%,,57%,,85%,71%,,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,19%,42%,,,80%,71%,,85%,0%,,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,19%,61%,,90%,85%,90%,,0%,0%,,0%,0%,0%,,71%,61%,,47%,57%,76%,,,,,,,,,
14,RBC Royal Bank,"1010 Hornby St, Vancouver, BC V6Z 1V6",Bank,49.28025,-123.12526,,,,,,,,0%,0%,61%,46%,7%,,,38%,15%,23%,0%,30%,0%,,0%,0%,0%,,,,,,,0%,,0%,30%,100%,30%,,46%,,38%,7%,0%,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,38%,38%,84%,,7%,38%,,46%,0%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,69%,53%,,15%,15%,30%,,46%,0%,0%,0%,0%,0%,,,,,,,,0%,0%,0%,69%,,69%,,61%,38%,23%,38%,,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,38%,38%,,,76%,84%,15%,46%,0%,,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,23%,23%,30%,,61%,30%,38%,0%,53%,0%,,0%,0%,0%,0%,38%,7%,23%,84%,46%,53%,,,,,,,,,
15,Scotiabank,"650 W Georgia St, Vancouver, BC V6B 4P6",Bank,49.28188,-123.11788,,,,,,,,0%,0%,7%,,52%,,,55%,57%,54%,,0%,0%,,0%,0%,0%,,,,,,,0%,,0%,21%,8%,,,95%,,65%,42%,0%,,0%,0%,,0%,0%,,,,,,,0%,0%,,24%,20%,22%,,51%,87%,,64%,0%,0%,,0%,0%,,0%,,,,,,,,0%,0%,,41%,20%,,,60%,68%,,57%,0%,0%,,0%,0%,,,,,,,,0%,,0%,18%,,44%,,61%,,60%,48%,,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,61%,40%,,,60%,77%,,78%,0%,,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,62%,84%,,40%,52%,68%,,70%,0%,,0%,0%,0%,,100%,58%,,45%,30%,34%,,,,,,,,,
