index,name,address,category,latitude,longitude,popular_times,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times_Sunday 12 p.m.,popular_times_Monday 12 a.m.
1,Spokes Bicycle Rentals,"870 W Cordova St, Vancouver, BC V6C 1Z7",Bicycle rental service,49.28686,-123.11452,,,,,,,,0%,0%,0%,16%,8%,8%,,25%,16%,25%,8%,16%,50%,91%,0%,0%,0%,0%,,,,,,,0%,0%,0%,25%,50%,0%,,16%,8%,8%,33%,25%,8%,16%,0%,0%,0%,0%,,,,,,,0%,0%,0%,16%,25%,50%,,0%,0%,25%,8%,33%,50%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,16%,8%,8%,,16%,0%,0%,50%,16%,16%,41%,0%,0%,0%,0%,,,,,,,0%,0%,0%,8%,25%,0%,,50%,41%,16%,16%,100%,33%,16%,0%,0%,0%,0%,,,,,,,0%,0%,0%,16%,16%,25%,,16%,33%,33%,25%,50%,58%,25%,0%,0%,0%,0%,,,,,,,0%,0%,0%,25%,16%,41%,,8%,33%,8%,33%,58%,91%,66%,0%,0%,0%,0%,16%,0%,8%,66%,8%,0%,16%,
2,Spokes Bicycle Rentals,"1798 W Georgia St, Vancouver, BC V6G 2V7",Bicycle rental service,49.29218,-123.13373,,,,,,,,0%,0%,0%,17%,33%,26%,,90%,43%,33%,83%,43%,17%,10%,0%,0%,0%,0%,,,,,,,0%,0%,0%,20%,37%,47%,,58%,100%,44%,27%,62%,29%,13%,0%,0%,0%,0%,,,,,,,0%,0%,0%,25%,20%,56%,,34%,58%,88%,33%,24%,37%,20%,0%,0%,0%,0%,,,,,,,0%,0%,0%,22%,30%,24%,,60%,36%,50%,73%,24%,18%,18%,0%,0%,0%,0%,,,,,,,0%,0%,0%,24%,37%,37%,,87%,64%,38%,41%,50%,16%,15%,0%,0%,0%,0%,,,,,,,0%,0%,0%,20%,32%,58%,,35%,96%,66%,33%,28%,37%,9%,0%,0%,0%,0%,,,,,,,0%,0%,0%,29%,21%,44%,,41%,34%,95%,59%,25%,19%,29%,0%,0%,0%,0%,52%,28%,54%,72%,30%,35%,76%,
4,Cycle City Tours And Bike Rentals,"648 Hornby St, Vancouver, BC V6C 2G2",Bicycle rental service,49.28416,-123.1193,,,,,,,,0%,0%,0%,5%,35%,100%,,76%,47%,35%,17%,5%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,64%,0%,52%,,52%,58%,17%,35%,11%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,5%,64%,0%,,70%,29%,23%,11%,17%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,35%,17%,70%,,52%,52%,29%,11%,11%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,35%,23%,47%,,29%,23%,41%,17%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,64%,29%,35%,,70%,35%,11%,52%,23%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,11%,82%,41%,,76%,41%,11%,0%,35%,0%,0%,0%,0%,0%,0%,41%,94%,41%,17%,76%,58%,58%,
5,Coal Harbour Bike Rental,"1570 Coal Harbour Quay, Vancouver, BC V6G 3G1",Bicycle rental service,49.29147,-123.12831,,,,,,,,,6%,0%,75%,87%,25%,,,43%,31%,37%,50%,31%,12%,,0%,0%,0%,,62%,,,,,0%,,0%,18%,43%,100%,,25%,,50%,50%,12%,31%,62%,0%,,0%,0%,,,37%,,,,0%,0%,,62%,31%,50%,,18%,37%,,62%,43%,12%,25%,0%,0%,,0%,,,,43%,,,0%,0%,0%,,25%,31%,,43%,25%,37%,,62%,18%,18%,6%,0%,0%,,,,,,50%,,0%,0%,0%,12%,,18%,,43%,31%,12%,25%,,50%,6%,0%,6%,0%,0%,,,,,,25%,0%,0%,0%,6%,12%,,,0%,43%,62%,18%,18%,,43%,0%,0%,18%,0%,,,,,,,12%,0%,0%,75%,18%,25%,,37%,12%,37%,56%,18%,25%,,0%,0%,0%,56%,18%,18%,75%,37%,18%,12%,,43%
9,Bikes and Blades Rentals Stanley Park,"710 Denman St, Vancouver, BC V6G 2L5",Bicycle rental service,49.29191,-123.13443,,,,,,,,0%,0%,0%,25%,9%,0%,,29%,9%,29%,70%,9%,9%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,12%,32%,9%,,48%,41%,3%,22%,25%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,3%,16%,29%,,9%,45%,41%,0%,22%,6%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,12%,0%,6%,,48%,22%,25%,25%,0%,19%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,32%,25%,3%,,64%,54%,29%,6%,19%,3%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,6%,45%,25%,,12%,100%,41%,35%,6%,22%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,3%,3%,29%,,22%,19%,87%,19%,16%,9%,0%,0%,0%,0%,0%,38%,3%,19%,51%,9%,9%,29%,
13,Freedom Bike Rentals Stanley Park,"730 Denman St, Vancouver, BC V6G 2L5",Bicycle rental service,49.29188,-123.13457,,,,,,,,0%,0%,0%,8%,58%,75%,,58%,0%,0%,16%,50%,16%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,8%,16%,33%,,50%,83%,8%,0%,0%,25%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,25%,25%,33%,,16%,75%,100%,0%,8%,0%,8%,0%,0%,0%,0%,,,,,,,0%,0%,0%,50%,50%,66%,,8%,8%,75%,58%,0%,8%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,25%,91%,50%,,25%,25%,16%,33%,58%,8%,16%,0%,0%,0%,0%,,,,,,,0%,0%,0%,50%,50%,91%,,58%,16%,16%,41%,8%,41%,33%,0%,0%,0%,0%,,,,,,,0%,0%,0%,33%,50%,75%,,16%,16%,25%,25%,41%,0%,66%,0%,0%,0%,0%,41%,33%,8%,25%,75%,25%,75%,
14,Jo-E Bike Rentals Stanley Park,"768 Denman St, Vancouver, BC V6G 2L5",Bicycle rental service,49.29176,-123.13456,,,,,,,,0%,0%,0%,17%,11%,47%,,88%,94%,52%,52%,70%,11%,23%,0%,0%,0%,0%,,,,,,,0%,0%,0%,17%,29%,5%,,82%,52%,94%,58%,29%,58%,29%,0%,0%,0%,0%,,,,,,,0%,0%,0%,23%,11%,64%,,52%,70%,70%,64%,47%,23%,23%,0%,0%,0%,0%,,,,,,,0%,0%,0%,47%,17%,47%,,17%,70%,64%,35%,29%,23%,23%,0%,0%,0%,0%,,,,,,,0%,0%,0%,41%,70%,23%,,100%,35%,58%,47%,17%,11%,11%,0%,0%,0%,0%,,,,,,,0%,0%,0%,52%,52%,100%,,64%,82%,52%,29%,64%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,11%,47%,47%,,88%,47%,76%,64%,11%,29%,0%,0%,0%,0%,0%,64%,47%,11%,82%,47%,52%,94%,
16,Club16 Bike Rentals,"Vancouver Convention Centre, 1055 Canada Pl, Vancouver, BC V6C 0C3",Bike sharing station,49.28941,-123.11676,,,,,,,,,0%,17%,21%,26%,34%,,,34%,4%,26%,47%,4%,47%,,0%,0%,0%,,,,,,,0%,,17%,30%,34%,34%,,47%,,17%,0%,56%,26%,8%,0%,,0%,0%,,,,,,,0%,0%,,34%,52%,60%,,13%,65%,,8%,0%,30%,26%,0%,0%,,0%,,,,,,,0%,0%,60%,,73%,100%,,13%,26%,34%,,4%,4%,30%,0%,0%,0%,,,,,,,,0%,0%,26%,86%,,34%,,26%,21%,34%,30%,,4%,8%,0%,0%,0%,0%,,,,,,,0%,0%,52%,26%,82%,,,47%,4%,26%,26%,43%,,17%,0%,0%,0%,0%,,,,,,,0%,0%,17%,26%,52%,60%,,17%,13%,13%,39%,8%,39%,,0%,0%,0%,0%,65%,26%,17%,34%,60%,26%,,
19,Yes Cycle Bike Rental,"687 Denman St, Vancouver, BC V6G 2L3",Bicycle rental service,49.29242,-123.13426,,,,,,,,0%,0%,0%,66%,12%,16%,,37%,41%,58%,29%,37%,62%,62%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,95%,29%,,37%,25%,62%,66%,25%,29%,50%,37%,0%,0%,0%,,,,,,,0%,0%,0%,41%,4%,87%,,20%,12%,16%,29%,95%,33%,20%,16%,0%,0%,0%,,,,,,,0%,0%,0%,70%,54%,12%,,83%,25%,16%,4%,12%,95%,50%,8%,0%,0%,0%,,,,,,,0%,0%,0%,45%,62%,50%,,66%,70%,33%,37%,0%,0%,95%,58%,0%,0%,0%,,,,,,,0%,0%,0%,54%,95%,37%,,33%,45%,58%,41%,66%,0%,4%,50%,0%,0%,0%,,,,,,,0%,0%,0%,8%,25%,100%,,50%,50%,45%,66%,79%,66%,4%,0%,0%,0%,0%,58%,8%,45%,70%,16%,41%,33%,
27,EcoRide Vancouver,"288 E Georgia St #135, Vancouver, BC V6A 4H8",Tour operator,49.27833,-123.0975,,,,,,,0%,18%,18%,13%,18%,22%,27%,,9%,0%,40%,36%,9%,31%,45%,22%,72%,18%,,,,,,,0%,45%,22%,36%,27%,13%,22%,,36%,27%,13%,36%,31%,18%,54%,54%,31%,40%,,,,,,,0%,0%,45%,18%,59%,54%,13%,,59%,31%,27%,31%,36%,18%,31%,31%,45%,27%,,,,,,,0%,68%,9%,18%,13%,45%,27%,,22%,45%,59%,45%,81%,13%,40%,22%,27%,22%,,,,,,,0%,18%,45%,18%,22%,18%,54%,,27%,18%,50%,40%,22%,77%,18%,27%,40%,18%,,,,,,,0%,22%,22%,22%,36%,27%,9%,,9%,31%,4%,31%,31%,22%,100%,27%,45%,50%,,,,,,,0%,13%,9%,40%,9%,22%,54%,,9%,18%,59%,0%,22%,31%,22%,77%,45%,77%,,31%,40%,40%,31%,13%,22%,13%,
