index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times_Sunday 12 p.m.,popular_times,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Thursday 12 a.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.
0,Propaganda coffee,"209 E Pender St, Vancouver, BC V6A 1T8",Coffee shop,49.28049,-123.09901,,,,,,,0%,0%,21%,21%,85%,66%,,95%,64%,35%,33%,52%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,19%,42%,47%,100%,,64%,97%,54%,16%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,26%,45%,50%,80%,,73%,54%,85%,47%,4%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,14%,33%,69%,59%,,76%,80%,42%,73%,28%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,16%,28%,54%,88%,,95%,83%,90%,26%,47%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,26%,30%,54%,78%,,50%,78%,85%,80%,23%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,50%,40%,59%,,66%,42%,61%,71%,61%,0%,0%,0%,0%,0%,0%,71%,69%,85%,85%,47%,83%,95%,,,,,,,,
2,Prado Cafe,"100 W Hastings St, Vancouver, BC V6B 1G8",Cafe,49.28188,-123.10744,,,,,,,0%,22%,31%,72%,100%,77%,,40%,9%,31%,4%,36%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,22%,45%,77%,59%,,27%,27%,13%,27%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,31%,63%,40%,59%,54%,,50%,45%,18%,18%,27%,0%,0%,0%,0%,0%,0%,,,,,,,0%,59%,31%,77%,59%,50%,,68%,72%,31%,27%,40%,0%,0%,0%,0%,0%,0%,,,,,,,0%,36%,50%,31%,59%,50%,,45%,68%,54%,13%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,81%,72%,18%,59%,,36%,45%,68%,63%,9%,0%,0%,0%,0%,0%,0%,,,,,,,0%,22%,54%,100%,81%,18%,,27%,36%,18%,40%,63%,0%,0%,0%,0%,0%,0%,22%,77%,59%,40%,50%,36%,54%,,,,,,,,
3,Bel Café Downtown,"801 W Georgia St, Vancouver, BC V6C 3G1",Coffee shop,49.28344,-123.11921,,,,,,,0%,12%,54%,70%,35%,54%,,22%,51%,58%,22%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,29%,35%,87%,16%,,16%,16%,25%,58%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,77%,38%,67%,19%,45%,,87%,22%,9%,19%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,45%,100%,64%,41%,25%,,9%,67%,45%,9%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,48%,64%,87%,45%,45%,,41%,6%,29%,22%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,87%,67%,58%,22%,,25%,61%,6%,6%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,67%,58%,61%,70%,38%,,54%,48%,41%,3%,0%,0%,0%,0%,0%,0%,0%,12%,74%,19%,45%,16%,35%,12%,,,,,,,,
4,Milano Espresso Lounge,"36 Powell St, Vancouver, BC V6A 1E7",Coffee shop,49.28316,-123.10334,,,,,,,0%,26%,50%,38%,69%,61%,,84%,73%,88%,76%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,30%,53%,69%,84%,,73%,69%,57%,53%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,34%,0%,61%,57%,96%,,61%,65%,57%,38%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,30%,34%,38%,80%,76%,,73%,53%,65%,46%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,38%,53%,57%,50%,84%,,76%,46%,46%,26%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,61%,69%,53%,88%,,88%,76%,46%,53%,0%,0%,0%,0%,0%,0%,0%,,,,,,,0%,34%,0%,69%,61%,61%,,84%,100%,92%,23%,0%,0%,0%,0%,0%,0%,0%,61%,53%,76%,84%,88%,80%,92%,,,,,,,,
5,Cardero Cafe,"1016 Cardero St, Vancouver, BC V6G 2H1",Cafe,49.287,-123.13575,,,,,,,0%,0%,13%,13%,36%,36%,,77%,40%,18%,54%,50%,22%,0%,0%,0%,0%,0%,,,,,,,0%,0%,13%,31%,27%,36%,,31%,86%,45%,36%,45%,40%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,27%,31%,68%,,54%,31%,72%,27%,22%,27%,0%,0%,0%,0%,0%,,,,,,,0%,0%,40%,27%,31%,40%,,68%,54%,45%,45%,9%,18%,0%,0%,0%,0%,0%,,,,,,,0%,0%,9%,36%,59%,13%,,81%,72%,50%,50%,22%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,27%,18%,59%,90%,,13%,77%,63%,40%,31%,22%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,36%,40%,50%,,18%,9%,59%,50%,27%,36%,0%,0%,0%,0%,0%,40%,54%,50%,77%,18%,9%,100%,,,,,,,,
6,Artigiano Hornby,"763 Hornby St, Vancouver, BC V6Z 2P4",Cafe,49.28311,-123.12144,,,,,,,0%,25%,,50%,25%,12%,,6%,6%,,100%,25%,25%,,0%,0%,,0%,,,,,,0%,,6%,56%,,31%,43%,,,6%,0%,,81%,37%,0%,,0%,0%,,,,,,,0%,18%,,0%,68%,,31%,,37%,,18%,0%,,56%,0%,0%,,0%,,,,,,,0%,12%,31%,,0%,93%,,,68%,43%,,31%,6%,,0%,0%,0%,,0%,,,,,,,18%,37%,18%,,6%,75%,,56%,62%,18%,,25%,18%,,0%,0%,0%,,,,,,,0%,,37%,25%,25%,,18%,,,56%,31%,6%,,0%,0%,,0%,0%,,,,,,,0%,18%,,62%,31%,25%,,,18%,,62%,25%,6%,,0%,0%,,0%,,,18%,56%,50%,,43%,18%,,,,,,,,
7,New Amsterdam Cafe,"301 W Hastings St, Vancouver, BC V6B 1H6",Coffee shop,49.28295,-123.10992,,,,,,,0%,0%,0%,0%,26%,41%,,51%,24%,34%,43%,78%,78%,36%,95%,24%,0%,0%,,,,,,,0%,0%,0%,0%,17%,46%,,24%,75%,26%,24%,46%,92%,80%,34%,100%,0%,0%,,,,,,,0%,0%,0%,0%,4%,24%,,36%,26%,97%,41%,24%,48%,92%,70%,31%,80%,0%,,,,,,,0%,0%,0%,0%,21%,14%,,53%,39%,24%,92%,53%,21%,46%,73%,39%,0%,53%,,,,,,,0%,0%,0%,0%,9%,26%,,43%,60%,46%,41%,100%,65%,21%,34%,56%,0%,0%,,,,,,,0%,0%,0%,0%,12%,19%,,39%,53%,60%,46%,48%,87%,56%,9%,0%,34%,0%,,,,,,,0%,0%,0%,0%,24%,21%,,29%,46%,58%,73%,58%,48%,95%,36%,4%,0%,29%,17%,41%,48%,29%,36%,29%,24%,,,,,,,,
8,Giovane Caffè,"418 W Georgia St, Vancouver, BC V6B 1Z3",Coffee shop,49.28071,-123.1157,,,,,,,0%,18%,50%,86%,79%,84%,,97%,61%,56%,77%,27%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,31%,56%,79%,63%,,86%,100%,90%,47%,65%,0%,0%,0%,0%,0%,0%,,,,,,,0%,63%,0%,61%,63%,79%,,61%,86%,95%,75%,15%,0%,0%,0%,0%,0%,0%,,,,,,,0%,31%,54%,34%,52%,63%,,56%,59%,81%,97%,56%,0%,0%,0%,0%,0%,0%,,,,,,,0%,34%,45%,54%,31%,75%,,90%,63%,68%,61%,65%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,52%,84%,43%,59%,,59%,95%,56%,59%,40%,0%,0%,0%,0%,0%,0%,,,,,,,0%,27%,0%,72%,79%,52%,,77%,72%,100%,40%,56%,0%,0%,0%,0%,0%,0%,68%,68%,56%,75%,75%,61%,77%,,,,,,,,
9,Breka Bakery & Café,"812 Bute St, Vancouver, BC V6E 1Y4",Bakery,49.28566,-123.12724,,15%,8%,17%,5%,4%,9%,14%,24%,26%,53%,43%,,66%,86%,54%,60%,90%,59%,65%,97%,55%,39%,42%,,34%,11%,5%,10%,5%,6%,15%,22%,30%,33%,66%,,55%,65%,90%,55%,66%,91%,55%,63%,100%,50%,31%,,16%,22%,7%,5%,8%,9%,11%,24%,33%,38%,41%,,51%,54%,64%,91%,58%,68%,89%,52%,57%,97%,43%,,13%,8%,15%,3%,6%,8%,13%,18%,32%,47%,46%,,90%,50%,51%,67%,88%,60%,66%,91%,45%,49%,89%,,17%,6%,5%,6%,6%,11%,14%,22%,26%,41%,60%,,52%,97%,50%,53%,76%,82%,60%,62%,90%,37%,39%,,45%,10%,4%,9%,6%,9%,15%,25%,28%,35%,53%,,56%,53%,96%,55%,57%,87%,74%,54%,56%,89%,29%,,15%,27%,7%,4%,7%,9%,17%,20%,39%,37%,46%,,77%,55%,55%,94%,57%,63%,94%,63%,46%,50%,76%,53%,49%,79%,50%,54%,70%,60%,,53%,28%,20%,29%,66%,25%,21%
10,"Coffee Bar, Buro","10 Water St, Vancouver, BC V6B 1A4",Coffee store,49.28344,-123.10478,,,,,,,0%,11%,23%,47%,52%,17%,,47%,47%,17%,35%,58%,23%,0%,35%,0%,0%,0%,,,,,,,0%,0%,11%,41%,41%,41%,,70%,64%,52%,11%,52%,52%,29%,0%,0%,0%,0%,,,,,,,0%,11%,29%,11%,41%,47%,,11%,82%,47%,58%,5%,58%,41%,11%,0%,0%,0%,,,,,,,0%,11%,5%,23%,23%,64%,,11%,23%,100%,29%,76%,0%,35%,35%,0%,0%,0%,,,,,,,0%,0%,23%,29%,41%,41%,,70%,35%,17%,64%,5%,52%,5%,0%,0%,0%,0%,,,,,,,0%,0%,17%,23%,47%,23%,,58%,64%,35%,17%,23%,11%,35%,17%,0%,0%,0%,,,,,,,0%,35%,52%,23%,35%,76%,,47%,29%,41%,41%,17%,5%,29%,17%,0%,0%,0%,64%,11%,23%,52%,58%,41%,47%,,,,,,,,
