index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times_Sunday 12 p.m.,popular_times_Thursday 12 a.m.,popular_times_Friday 12 a.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Monday 12 a.m.,popular_times
0,Silk Lounge,"132 Powell St, Vancouver, BC V6A 1G1",Indian restaurant,49.2831,-123.10109,,,,,,,0%,0%,0%,0%,0%,19%,,42%,19%,23%,0%,23%,26%,53%,30%,50%,42%,0%,,,,,,,0%,0%,0%,0%,0%,42%,,15%,38%,7%,15%,7%,34%,53%,65%,15%,46%,0%,,,,,,,0%,0%,0%,0%,0%,0%,,3%,7%,46%,7%,11%,15%,69%,30%,30%,7%,0%,,,,,,,0%,0%,0%,0%,0%,7%,,26%,11%,11%,34%,15%,34%,15%,76%,15%,19%,7%,,,,,,,0%,0%,0%,0%,0%,38%,,0%,19%,23%,15%,30%,11%,69%,38%,76%,7%,0%,,,,,,,0%,0%,0%,0%,0%,50%,,23%,0%,23%,23%,30%,34%,19%,65%,76%,100%,0%,,,,,,,0%,0%,0%,0%,0%,30%,,30%,50%,0%,26%,23%,42%,61%,23%,46%,88%,61%,19%,11%,50%,0%,15%,42%,76%,,,,,,,,
1,Five Guys,"635 Robson St, Vancouver, BC V6B 5J3",Fast food restaurant,49.28108,-123.11906,,,,,,,0%,0%,0%,0%,29%,47%,,80%,64%,47%,67%,77%,61%,51%,78%,30%,0%,0%,,,,,,,0%,0%,0%,0%,15%,54%,,55%,86%,59%,48%,70%,84%,55%,41%,62%,0%,0%,,,,,,,0%,0%,0%,0%,20%,32%,,71%,51%,86%,60%,55%,71%,83%,42%,25%,43%,0%,,,,,,,0%,0%,0%,0%,21%,40%,,81%,59%,53%,88%,64%,57%,67%,77%,25%,0%,0%,,,,,,,0%,0%,0%,0%,15%,42%,,62%,77%,52%,56%,96%,62%,48%,53%,66%,0%,0%,,,,,,,0%,0%,0%,0%,19%,38%,,59%,67%,70%,53%,58%,100%,53%,36%,35%,47%,0%,,,,,,,0%,0%,0%,0%,22%,38%,,69%,54%,65%,70%,59%,58%,95%,44%,25%,0%,0%,52%,69%,76%,50%,59%,64%,61%,,,,,,,,
2,Fatburger Granville,"734 Granville St, Vancouver, BC V6Z 1E4",Fast food restaurant,49.282,-123.11863,,,,,,,0%,0%,0%,0%,16%,16%,,37%,52%,35%,69%,56%,37%,35%,84%,47%,0%,0%,,,,,,,0%,0%,0%,0%,18%,20%,,39%,28%,49%,50%,58%,83%,41%,37%,83%,0%,0%,,,,,,,0%,0%,0%,0%,35%,33%,,18%,45%,39%,47%,86%,64%,88%,62%,18%,60%,0%,,,,,,,0%,0%,0%,0%,22%,26%,,15%,18%,24%,41%,54%,88%,49%,84%,30%,0%,0%,,,,,,,0%,0%,0%,0%,5%,49%,,45%,13%,15%,20%,56%,52%,100%,41%,56%,0%,0%,,,,,,,0%,0%,0%,0%,32%,13%,,37%,54%,16%,22%,13%,58%,50%,84%,26%,28%,0%,,,,,,,0%,0%,0%,0%,11%,39%,,58%,47%,64%,39%,28%,20%,62%,37%,66%,0%,0%,43%,26%,18%,43%,39%,62%,24%,,,,,,,,
3,Mean Poutine,"718 Nelson St, Vancouver, BC V6Z 1L2",Fast food restaurant,49.27939,-123.12346,,,,85%,,,0%,0%,0%,0%,,35%,,32%,32%,32%,42%,,67%,42%,32%,75%,60%,0%,,,,,,,0%,0%,0%,0%,0%,,,28%,39%,17%,32%,50%,,67%,53%,46%,71%,0%,,,,,,,0%,0%,0%,0%,0%,17%,,46%,60%,32%,7%,46%,53%,,64%,57%,35%,67%,,,,,,,,0%,0%,0%,0%,39%,,,50%,46%,14%,7%,71%,50%,,64%,46%,57%,,21%,,,,,0%,,0%,0%,0%,21%,,32%,,39%,46%,10%,14%,82%,64%,,42%,0%,,85%,21%,,,,0%,0%,,0%,0%,25%,,60%,32%,,46%,25%,10%,32%,100%,46%,,0%,,,100%,21%,,,0%,0%,0%,,0%,21%,,32%,35%,28%,,50%,42%,32%,57%,89%,39%,,25%,46%,,35%,57%,28%,28%,39%,60%,,,,,,
4,New Brandiz Fast Food,"100 E Hastings St, Vancouver, BC V6A 4J1",Fast food restaurant,49.2812,-123.1021,,,,,,,,0%,0%,0%,,6%,,,31%,87%,18%,,25%,25%,,25%,0%,62%,,,,,,,0%,,0%,0%,0%,,,37%,,31%,62%,6%,,25%,37%,,12%,0%,,,,,,,0%,0%,,0%,0%,12%,,18%,43%,,18%,31%,6%,,12%,43%,,6%,,,,,,,,0%,0%,,0%,43%,,,43%,25%,,31%,18%,18%,,37%,25%,,,,,,,,0%,,0%,0%,,37%,,6%,,56%,18%,,56%,25%,50%,,31%,0%,,,,,,,0%,0%,,0%,0%,,,93%,25%,,43%,6%,,31%,12%,62%,,0%,,,,,,,0%,0%,0%,,0%,37%,,50%,100%,25%,,43%,6%,,25%,6%,56%,,37%,6%,,6%,81%,37%,,0%,,62%,,,,,
5,Mr. Shawarma Granville Location,"680 Granville St, Vancouver, BC V7Y 1H4",Fast food restaurant,49.28263,-123.11772,,,,,,,0%,0%,0%,0%,0%,39%,,21%,7%,14%,32%,7%,28%,7%,32%,46%,21%,10%,,,,,,,0%,0%,0%,0%,0%,21%,,25%,21%,14%,3%,17%,3%,25%,10%,35%,17%,21%,,,,,,,0%,0%,0%,0%,0%,0%,,46%,10%,32%,10%,3%,7%,10%,42%,25%,53%,10%,,,,,,,0%,0%,0%,0%,0%,57%,,28%,57%,10%,60%,21%,10%,3%,3%,21%,60%,25%,,,,,,,0%,0%,0%,0%,0%,25%,,35%,39%,100%,17%,35%,28%,21%,10%,7%,14%,53%,,,,,,,0%,0%,0%,0%,0%,75%,,17%,46%,35%,82%,39%,21%,53%,14%,14%,14%,10%,,,,,,,0%,0%,0%,0%,0%,7%,,10%,10%,28%,17%,57%,17%,10%,57%,14%,7%,35%,10%,35%,35%,25%,32%,17%,35%,,,,,,,,
6,Fresh Donair,"1009 Granville St, Vancouver, BC V6Z 1L3",Fast food restaurant,49.27923,-123.1234,,61%,19%,3%,,,0%,0%,0%,0%,,16%,,25%,9%,6%,12%,,51%,3%,41%,6%,38%,61%,,,54%,25%,,,0%,0%,0%,0%,6%,,,25%,22%,6%,9%,22%,,35%,3%,45%,12%,25%,,67%,,67%,,,0%,0%,0%,0%,0%,6%,,25%,9%,38%,16%,19%,41%,,16%,12%,41%,19%,,35%,74%,,54%,,,0%,0%,0%,29%,3%,,,9%,6%,32%,19%,16%,41%,,16%,29%,35%,,9%,25%,100%,,,0%,,0%,0%,0%,38%,,25%,,12%,9%,22%,9%,16%,35%,,19%,38%,,35%,19%,22%,35%,,0%,0%,,0%,32%,6%,,3%,35%,,22%,12%,19%,6%,35%,51%,,38%,,25%,16%,19%,,,0%,0%,0%,,22%,41%,,25%,9%,19%,,45%,6%,29%,0%,35%,54%,,35%,22%,,19%,0%,48%,12%,9%,38%,48%,25%,32%,45%,,
7,McDonald's,"275 Robson St #211, Vancouver, BC V6B 0E7",Fast food restaurant,49.27889,-123.11562,,6%,6%,12%,9%,6%,13%,29%,38%,57%,54%,86%,,82%,43%,37%,48%,67%,39%,29%,68%,39%,29%,20%,,31%,5%,5%,9%,13%,11%,31%,40%,51%,65%,60%,,79%,67%,50%,43%,59%,60%,52%,37%,68%,38%,25%,,14%,23%,9%,2%,9%,25%,25%,51%,54%,50%,73%,,68%,72%,51%,51%,51%,64%,52%,47%,44%,55%,35%,,15%,6%,21%,3%,4%,14%,32%,38%,56%,53%,55%,,73%,55%,59%,51%,50%,39%,62%,57%,45%,38%,27%,,6%,7%,3%,4%,9%,7%,31%,52%,50%,68%,50%,,46%,86%,51%,40%,56%,51%,39%,55%,70%,27%,27%,,7%,1%,4%,6%,5%,12%,20%,38%,68%,56%,82%,,59%,36%,84%,50%,30%,52%,45%,30%,46%,67%,11%,,11%,7%,3%,7%,6%,13%,27%,39%,53%,80%,67%,,42%,42%,37%,78%,50%,25%,60%,40%,37%,31%,51%,72%,81%,64%,65%,68%,40%,100%,17%,11%,14%,17%,18%,4%,37%,
8,Popeyes Louisiana Kitchen,"897 Granville St, Vancouver, BC V6Z 1L1",Chicken restaurant,49.28059,-123.12161,,,,,,,,0%,0%,0%,,0%,,,12%,6%,18%,,12%,43%,,18%,25%,0%,,,,,,,0%,,0%,0%,0%,,,25%,,12%,18%,25%,,12%,75%,,6%,0%,,,,,,,0%,0%,,0%,0%,25%,,12%,43%,,0%,12%,62%,,18%,87%,,12%,,,,,,,,0%,0%,,0%,0%,,,25%,50%,,12%,0%,81%,,12%,93%,,,37%,,,,,0%,,0%,0%,,25%,,18%,,12%,18%,,25%,0%,100%,,18%,0%,,,50%,,,,0%,0%,,0%,0%,,,0%,18%,,6%,6%,,56%,6%,56%,,0%,,,,,,,0%,0%,0%,,0%,6%,,31%,0%,25%,,6%,12%,,37%,12%,31%,,6%,6%,,12%,0%,18%,,18%,,,,,,,
9,McDonald's,"1055 W Georgia St Suite #120, Vancouver, BC V6E 3P2",Fast food restaurant,49.28479,-123.1211,,0%,2%,3%,7%,23%,39%,18%,78%,76%,75%,63%,,93%,60%,80%,93%,72%,57%,49%,45%,33%,24%,25%,,3%,1%,4%,4%,19%,40%,61%,26%,77%,69%,86%,,84%,97%,60%,82%,94%,58%,39%,40%,38%,29%,16%,,8%,3%,3%,13%,11%,35%,62%,74%,29%,76%,69%,,77%,80%,92%,55%,83%,78%,45%,27%,37%,27%,17%,,9%,4%,2%,10%,27%,23%,53%,72%,75%,34%,84%,,97%,75%,79%,84%,49%,67%,56%,39%,23%,28%,16%,,2%,4%,5%,1%,25%,49%,35%,63%,73%,69%,40%,,81%,100%,74%,80%,78%,42%,51%,41%,32%,19%,17%,,5%,0%,4%,8%,3%,47%,68%,48%,62%,69%,74%,,88%,83%,98%,75%,79%,69%,37%,39%,37%,25%,9%,,3%,4%,0%,8%,20%,9%,65%,80%,60%,60%,73%,,55%,81%,86%,89%,73%,64%,56%,36%,33%,36%,14%,82%,74%,92%,76%,93%,46%,85%,9%,11%,14%,10%,8%,3%,8%,
