index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Sunday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Thursday 12 a.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.
0,Equinox West Georgia Street,"1131 W Georgia St, Vancouver, BC V6E 4G2",Gym,49.28627,-123.1236,,,,,,16%,0%,,37%,37%,38%,,,65%,,63%,82%,82%,,67%,0%,,,0%,,,,,0%,,32%,21%,,38%,36%,41%,,44%,62%,,73%,92%,88%,,47%,0%,,,,,,,0%,20%,,37%,43%,,46%,45%,,,44%,55%,,76%,93%,73%,,29%,0%,,,,,,0%,16%,24%,,42%,63%,,51%,,43%,,51%,51%,,66%,75%,50%,,,0%,,,,,,12%,32%,31%,,34%,79%,,,50%,39%,,60%,43%,,51%,49%,27%,,,,,,,0%,,24%,43%,33%,,37%,78%,,55%,56%,43%,,72%,31%,,31%,26%,,,,,,,0%,19%,,35%,39%,37%,,41%,,,60%,66%,63%,,78%,0%,,0%,0%,,46%,42%,49%,53%,71%,,,,,,,,,,
1,Rumble Boxing Studio Yaletown,"968 Expo Blvd, Vancouver, BC V6Z 2W1",Boxing gym,49.27525,-123.11514,,,,,,,0%,30%,23%,25%,14%,19%,,87%,12%,16%,0%,39%,75%,47%,0%,0%,0%,0%,,,,,,,0%,0%,29%,14%,38%,17%,,12%,50%,19%,35%,0%,32%,84%,35%,0%,0%,0%,,,,,,,0%,14%,32%,20%,8%,48%,,3%,14%,23%,39%,64%,0%,28%,57%,0%,0%,0%,,,,,,,0%,19%,16%,57%,15%,11%,,20%,3%,25%,0%,55%,76%,0%,12%,0%,0%,0%,,,,,,,0%,25%,17%,15%,79%,15%,,57%,20%,14%,30%,0%,58%,67%,0%,0%,0%,0%,,,,,,,0%,0%,15%,20%,19%,100%,,12%,50%,26%,33%,37%,0%,55%,43%,0%,0%,0%,,,,,,,0%,24%,17%,14%,16%,16%,,14%,8%,28%,32%,57%,39%,0%,46%,0%,0%,0%,11%,21%,61%,16%,97%,10%,19%,,,,,,,,
2,Team hybridtraining,"261 E Pender St, Vancouver, BC V6A 1T8",Gym,49.28063,-123.0982,,,,,,,0%,23%,3%,13%,83%,3%,,36%,63%,16%,10%,30%,10%,,0%,3%,0%,,,,,,,0%,,13%,20%,6%,16%,36%,,,13%,76%,23%,10%,13%,23%,,0%,0%,,,,,,,0%,16%,,20%,6%,16%,43%,,26%,,6%,50%,10%,13%,3%,20%,,0%,,,,,,,0%,3%,6%,,50%,0%,10%,,6%,23%,,13%,33%,3%,26%,6%,23%,,0%,,,,,,0%,30%,23%,3%,,46%,6%,,53%,13%,13%,,0%,30%,0%,13%,3%,0%,,,,,,,0%,0%,50%,63%,0%,,63%,,13%,33%,23%,10%,,0%,16%,0%,6%,0%,,,,,,,0%,43%,0%,23%,100%,0%,,,43%,20%,30%,50%,6%,,0%,13%,6%,0%,,,13%,60%,10%,70%,13%,13%,,,,,,,,
3,West Coast Strength & Movement,"560 Beatty St L300, Vancouver, BC V6B 2L3",Gym,49.28016,-123.10957,,,,,,,0%,16%,,33%,0%,16%,,25%,25%,,41%,0%,50%,,0%,0%,,0%,,,,,,0%,,0%,8%,,33%,0%,,,8%,50%,,66%,0%,91%,,0%,0%,,,,,,,0%,58%,,16%,0%,,8%,,50%,,0%,33%,,100%,16%,58%,,0%,,,,,,,0%,8%,66%,,16%,8%,,,8%,66%,,0%,41%,,41%,41%,0%,,0%,,,,,,,66%,16%,41%,,50%,25%,,0%,33%,66%,,0%,33%,,16%,0%,0%,,,,,,,0%,,66%,8%,58%,,41%,,,8%,33%,33%,,0%,50%,,0%,0%,,,,,,,0%,33%,,41%,0%,33%,,,16%,,8%,8%,50%,,0%,66%,,0%,,,0%,8%,,58%,16%,16%,,,,,,,,
4,Yard Athletics,"307 W Pender St, Vancouver, BC V6B 1T3",Gym,49.28238,-123.11105,,,,,,,0%,73%,,6%,13%,6%,,0%,33%,,40%,53%,80%,,0%,0%,,0%,,,,,,0%,,0%,86%,,20%,6%,,,0%,60%,,33%,73%,66%,,0%,0%,,,,,,,0%,40%,,13%,86%,,40%,,13%,,0%,46%,,60%,66%,0%,,0%,,,,,,,0%,20%,33%,,26%,40%,,,46%,26%,,0%,73%,,26%,0%,0%,,0%,,,,,,,13%,20%,53%,,46%,40%,,20%,20%,53%,,0%,86%,,0%,0%,0%,,,,,,,0%,,13%,40%,20%,,60%,,,13%,13%,80%,,0%,53%,,0%,0%,,,,,,,0%,33%,,0%,20%,6%,,,33%,,26%,20%,80%,,0%,0%,,0%,,,26%,33%,,0%,20%,20%,,,,,,,,
5,Groundwork Athletics Inc,"736 Granville St, Vancouver, BC V6Z 1G3",Gym,49.28188,-123.1186,,,,,,,51%,40%,11%,,45%,42%,,20%,17%,34%,,0%,60%,,0%,0%,0%,,,,,,,0%,,31%,22%,22%,,28%,,,34%,40%,60%,,0%,77%,,0%,0%,,,,,,,0%,17%,,25%,11%,42%,,,8%,,20%,48%,91%,,0%,0%,,0%,,,,,,,,0%,37%,,11%,5%,37%,,2%,5%,,17%,37%,94%,,0%,0%,,,,,,,,0%,,31%,77%,,17%,14%,,,0%,20%,,8%,42%,100%,,0%,0%,,,,,,,0%,8%,,25%,57%,,11%,,20%,,2%,42%,,11%,34%,0%,,0%,,,,,,,0%,42%,5%,,37%,45%,,,8%,22%,,5%,60%,,0%,0%,0%,,0%,,17%,,45%,20%,20%,5%,,,,,,,,
8,Fitness World,"1185 W Georgia St #200, Vancouver, BC V6E 4E6",Gym,49.28726,-123.12472,,,,,,15%,0%,,38%,41%,53%,,,62%,,73%,82%,100%,,77%,32%,,,0%,,,,,0%,,30%,25%,,41%,40%,62%,,72%,54%,,82%,93%,96%,,59%,0%,,,,,,,0%,16%,,42%,39%,,47%,49%,,,70%,49%,,90%,88%,79%,,39%,0%,,,,,,0%,22%,30%,,45%,52%,,56%,,70%,,74%,47%,,82%,76%,56%,,,0%,,,,,,17%,35%,41%,,47%,61%,,,65%,64%,,81%,48%,,59%,54%,32%,,,,,,,0%,,27%,45%,44%,,48%,66%,,68%,65%,71%,,87%,45%,,35%,34%,,,,,,,0%,21%,,35%,43%,45%,,58%,,,69%,71%,86%,,83%,41%,,0%,0%,,70%,71%,62%,63%,66%,,,,,,,,,,
9,Studeo Gyms Vancouver,"847 Hornby St, Vancouver, BC V6Z 2G3",Gym,49.28195,-123.12309,,,,,,18%,28%,10%,,2%,23%,,,31%,21%,,55%,0%,,13%,0%,0%,,,,,,,0%,,15%,28%,5%,,2%,23%,,23%,15%,23%,,100%,0%,,0%,0%,,,,,,,0%,21%,,15%,34%,2%,,5%,,,31%,15%,44%,,71%,0%,,0%,,,,,,,,21%,0%,,26%,39%,0%,,,13%,,31%,28%,47%,,44%,0%,,,,,,,,0%,,28%,0%,,42%,34%,2%,,5%,0%,,28%,31%,36%,,0%,0%,,,,,,,0%,7%,,23%,18%,,31%,28%,,,5%,0%,,28%,36%,21%,,0%,0%,,,,,,0%,28%,7%,,7%,26%,,21%,,13%,,31%,0%,,15%,28%,0%,,,0%,23%,13%,5%,,34%,,5%,,,,,,,,
10,Elite Performance Fitness,"325 Howe St B102&202, Vancouver, BC V6C 3N2",Personal trainer,49.28649,-123.11433,,,,,,,0%,76%,,33%,76%,9%,,19%,14%,,38%,66%,23%,,0%,0%,,0%,,,,,,0%,,0%,80%,,14%,76%,,,4%,38%,,47%,71%,9%,,0%,0%,,,,,,,0%,4%,,66%,47%,,9%,,4%,,0%,61%,,66%,47%,9%,,0%,,,,,,,0%,33%,14%,,100%,33%,,,42%,14%,,0%,85%,,76%,23%,0%,,0%,,,,,,,66%,42%,38%,,100%,33%,,23%,28%,9%,,0%,76%,,0%,0%,0%,,,,,,,0%,,80%,66%,33%,,95%,,,42%,38%,19%,,0%,57%,,0%,0%,,,,,,,0%,47%,,76%,85%,33%,,,19%,,38%,38%,28%,,0%,33%,,0%,,,57%,14%,,38%,4%,23%,,,,,,,,
11,Feel Good,"112 W Hastings St, Vancouver, BC V6B 1G8",Physical fitness program,49.28197,-123.10774,,,,,,7%,46%,23%,,100%,38%,,,0%,69%,,23%,0%,,7%,0%,0%,,,,,,,0%,,15%,46%,15%,,46%,84%,,15%,0%,38%,,7%,0%,,0%,0%,,,,,,,0%,7%,,7%,15%,15%,,15%,,,0%,7%,46%,,0%,0%,,0%,,,,,,,,7%,0%,,15%,7%,0%,,,0%,,0%,30%,23%,,0%,0%,,,,,,,,0%,,23%,0%,,46%,0%,7%,,15%,0%,,15%,23%,23%,,0%,0%,,,,,,,0%,23%,,38%,0%,,69%,0%,,,15%,0%,,30%,30%,0%,,0%,0%,,,,,,0%,69%,23%,,69%,15%,,76%,,46%,,30%,0%,,30%,15%,0%,,,0%,38%,0%,7%,,0%,,15%,,,,,,,,
