index,name,address,category,latitude,longitude,popular_times,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times_Sunday 12 p.m.
6,Studio 16 Hair Design 2005,"1224 Bute St, Vancouver, BC V6E 1Z8",Hair salon,49.2814,-123.13359,,,,,,,,,0%,0%,0%,6%,66%,,,13%,33%,100%,6%,6%,0%,,0%,0%,0%,,,,,,,0%,,0%,0%,13%,26%,,33%,,13%,13%,80%,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,0%,13%,13%,,46%,13%,,33%,13%,46%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,6%,13%,,40%,13%,6%,,26%,13%,0%,0%,0%,0%,,,,,,,,0%,0%,0%,0%,,13%,,40%,46%,6%,6%,,13%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,,,13%,40%,40%,6%,0%,,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,26%,13%,,20%,13%,73%,20%,20%,0%,,0%,0%,0%,0%,26%,40%,33%,33%,20%,33%,
14,Tsubaki Hair Express,"515 Dunsmuir St, Vancouver, BC V6B 1Y4",Hair salon,49.28264,-123.11457,,,,,,,,0%,0%,0%,0%,17%,8%,,34%,52%,17%,60%,34%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,52%,17%,,65%,52%,47%,26%,52%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,17%,65%,,21%,65%,34%,52%,21%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,39%,8%,,34%,39%,69%,26%,34%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,39%,30%,,100%,39%,52%,65%,8%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,43%,30%,,13%,86%,26%,52%,69%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,8%,34%,,34%,21%,69%,47%,47%,0%,0%,0%,0%,0%,0%,43%,13%,39%,95%,13%,39%,30%
19,Salon de J Hair,"774 Bidwell St, Vancouver, BC V6G 2J6",Hair salon,49.29064,-123.13325,,,,,,,,0%,0%,0%,0%,61%,46%,,23%,23%,76%,53%,38%,69%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,53%,,69%,38%,15%,38%,46%,61%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,15%,,23%,38%,38%,23%,15%,30%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,30%,7%,,53%,15%,23%,61%,46%,15%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,23%,,76%,84%,15%,7%,100%,30%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,84%,7%,,30%,53%,53%,30%,7%,92%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,46%,92%,,30%,61%,61%,61%,38%,15%,0%,0%,0%,0%,0%,84%,15%,76%,38%,7%,15%,7%
26,Suki's Downtown,"1030 W Georgia St #233, Vancouver, BC V6E 2Y3",Hair salon,49.28455,-123.12232,,,,,,,,0%,0%,76%,8%,44%,44%,,26%,5%,26%,8%,17%,17%,52%,0%,0%,0%,0%,,,,,,,0%,0%,14%,91%,26%,47%,,44%,20%,14%,17%,5%,26%,8%,0%,0%,0%,0%,,,,,,,0%,0%,5%,38%,55%,38%,,55%,32%,11%,14%,26%,11%,0%,0%,0%,0%,0%,,,,,,,0%,0%,11%,17%,55%,58%,,20%,44%,32%,26%,20%,14%,20%,0%,0%,0%,0%,,,,,,,0%,0%,29%,17%,20%,50%,,100%,26%,32%,41%,29%,29%,14%,0%,0%,0%,0%,,,,,,,0%,0%,55%,38%,11%,29%,,79%,79%,20%,32%,52%,50%,0%,0%,0%,0%,0%,,,,,,,0%,0%,5%,55%,26%,23%,,8%,35%,35%,29%,41%,67%,29%,0%,0%,0%,0%,38%,38%,26%,73%,64%,23%,20%
32,Axis Hair Salon,"1386 W Pender St, Vancouver, BC V6E 4S9",Beauty salon,49.28939,-123.12733,,,,,,,,,0%,0%,0%,0%,8%,,,100%,62%,20%,50%,37%,95%,,0%,0%,0%,,,,,,,0%,,0%,45%,20%,4%,,33%,,70%,87%,0%,16%,25%,0%,,0%,0%,,,,,,,0%,0%,,62%,37%,29%,,70%,54%,,79%,50%,0%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,70%,16%,,45%,91%,70%,,58%,37%,0%,0%,0%,0%,,,,,,,,0%,0%,0%,0%,,75%,,45%,75%,58%,58%,,41%,16%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,4%,,,8%,37%,91%,37%,70%,,25%,0%,0%,0%,0%,,,,,,,0%,0%,0%,4%,4%,8%,,79%,33%,41%,79%,45%,83%,,0%,0%,0%,0%,25%,33%,16%,25%,4%,95%,
33,Aube Hair salon,"851 Hornby St, Vancouver, BC V6Z 1T9",Hair salon,49.28214,-123.12291,,,,,,,,0%,0%,0%,0%,0%,10%,,55%,55%,35%,65%,50%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,50%,,30%,25%,40%,20%,30%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,45%,,15%,35%,15%,30%,35%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,25%,,45%,20%,65%,15%,5%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,25%,,50%,55%,20%,80%,20%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,30%,,35%,50%,40%,35%,100%,0%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,15%,,40%,45%,65%,35%,35%,0%,0%,0%,0%,0%,0%,25%,5%,50%,45%,25%,55%,40%
35,Cut My Hair Barber Shop,"530 Seymour St, Vancouver, BC V6B 1V3",Barber shop,49.28369,-123.11412,,,,,,,,0%,0%,0%,35%,29%,23%,,5%,29%,5%,94%,29%,23%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,47%,70%,41%,,0%,17%,29%,23%,100%,11%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,11%,23%,41%,,11%,5%,35%,35%,58%,64%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,5%,17%,17%,,35%,11%,5%,29%,29%,52%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,11%,41%,,47%,47%,29%,17%,35%,29%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,11%,0%,5%,,11%,58%,35%,29%,23%,47%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,11%,29%,0%,,17%,5%,70%,23%,29%,17%,0%,0%,0%,0%,0%,0%,29%,52%,41%,5%,35%,0%
38,Regal Grooming Lounge,"415 Hornby St, Vancouver, BC V6C 2Y2",Barber shop,49.28644,-123.1163,,,,,,,,,0%,0%,19%,33%,52%,,,55%,61%,13%,0%,50%,0%,,0%,0%,0%,,,,,,,0%,,0%,52%,25%,52%,,72%,,69%,50%,11%,0%,0%,0%,,0%,0%,,,,,,,0%,0%,,8%,61%,22%,,72%,83%,,72%,58%,11%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,11%,77%,,61%,72%,100%,,55%,41%,0%,0%,0%,0%,,,,,,,,0%,0%,0%,11%,,13%,,19%,52%,66%,86%,,41%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,22%,27%,,,80%,19%,61%,72%,63%,,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,36%,33%,,36%,63%,11%,36%,72%,36%,,0%,0%,0%,0%,55%,50%,55%,30%,75%,22%,
45,Gilla's Hair Salon And Spa,"1086 Denman St, Vancouver, BC V6G 2M8",Hair salon,49.28836,-123.13988,,,,,,,,0%,0%,0%,100%,66%,11%,,33%,0%,11%,22%,33%,44%,44%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,77%,33%,,44%,44%,11%,0%,33%,11%,44%,0%,0%,0%,0%,,,,,,,0%,0%,0%,11%,0%,22%,,11%,33%,55%,44%,0%,11%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,44%,0%,22%,,0%,22%,33%,55%,44%,11%,11%,0%,0%,0%,0%,,,,,,,0%,0%,0%,33%,66%,0%,,22%,11%,33%,66%,22%,33%,22%,0%,0%,0%,0%,,,,,,,0%,0%,0%,11%,33%,77%,,55%,55%,33%,11%,77%,11%,22%,0%,0%,0%,0%,,,,,,,0%,0%,0%,33%,22%,44%,,0%,22%,22%,66%,11%,77%,0%,0%,0%,0%,0%,88%,0%,11%,11%,44%,0%,55%
46,Chemically Addicted Hair Inc,"1209 Bute St, Vancouver, BC V6E 2A1",Hair salon,49.28158,-123.13391,,,,,,,,0%,0%,0%,0%,53%,100%,,53%,46%,7%,69%,23%,38%,30%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,61%,,15%,61%,46%,0%,30%,7%,53%,0%,0%,0%,0%,,,,,,,0%,0%,0%,7%,7%,0%,,38%,15%,30%,30%,7%,0%,7%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,23%,23%,,61%,53%,15%,7%,46%,7%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,46%,,0%,69%,61%,15%,0%,38%,15%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,7%,7%,,69%,15%,76%,69%,23%,0%,46%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,53%,23%,,53%,30%,30%,38%,38%,46%,0%,0%,0%,0%,0%,15%,76%,46%,0%,61%,76%,23%
