index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 p.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 a.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 p.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.,popular_times
0,Pigeon Park,"399 Carrall St, Vancouver, BC V6B 2J4",Park,49.28173,-123.10475,,15%,10%,31%,11%,15%,20%,20%,34%,40%,48%,56%,,66%,91%,68%,55%,65%,40%,43%,59%,46%,37%,37%,,39%,14%,6%,4%,9%,10%,23%,23%,31%,43%,72%,,70%,63%,93%,70%,50%,63%,45%,39%,66%,43%,34%,,16%,16%,15%,25%,10%,7%,9%,35%,26%,40%,47%,,54%,71%,60%,94%,63%,51%,63%,42%,33%,76%,38%,,26%,16%,10%,6%,25%,13%,14%,13%,41%,48%,47%,,87%,52%,63%,53%,93%,56%,44%,65%,43%,35%,78%,,14%,17%,21%,3%,8%,26%,19%,30%,33%,53%,81%,,58%,88%,58%,59%,50%,91%,57%,40%,67%,37%,33%,,45%,9%,11%,23%,7%,20%,29%,20%,37%,48%,59%,,58%,52%,82%,52%,47%,50%,86%,53%,39%,71%,34%,,20%,35%,4%,7%,17%,18%,26%,39%,33%,50%,61%,,100%,64%,49%,73%,46%,47%,53%,65%,41%,42%,63%,65%,46%,60%,27%,30%,86%,29%,56%,51%,60%,96%,31%,20%,67%,
1,Portal Park,"1099 W Hastings St, Vancouver, BC V6E 4E2",Park,49.28804,-123.11915,,10%,0%,28%,10%,20%,12%,0%,12%,28%,17%,53%,,43%,7%,38%,76%,33%,5%,15%,2%,17%,20%,46%,,7%,23%,0%,0%,15%,43%,12%,0%,7%,28%,25%,,28%,51%,12%,53%,84%,30%,7%,5%,2%,28%,7%,,30%,2%,10%,38%,2%,30%,28%,25%,0%,5%,23%,,25%,53%,64%,25%,35%,61%,23%,15%,15%,7%,35%,,7%,33%,0%,17%,17%,5%,30%,23%,15%,0%,12%,,69%,17%,41%,46%,41%,30%,35%,23%,10%,23%,17%,,7%,17%,25%,2%,12%,7%,12%,30%,20%,10%,2%,,28%,100%,20%,43%,30%,41%,17%,23%,30%,5%,41%,,15%,0%,35%,28%,5%,10%,5%,7%,48%,41%,15%,,15%,43%,87%,20%,41%,17%,38%,30%,23%,35%,2%,,10%,15%,0%,10%,17%,2%,15%,12%,12%,58%,20%,,10%,23%,76%,64%,10%,25%,12%,17%,20%,33%,15%,23%,7%,41%,41%,2%,48%,17%,12%,10%,20%,5%,20%,5%,20%,
2,Nelson Park,"1030 Bute St, Vancouver, BC V6E 1J2",Park,49.28277,-123.12995,,,,,,,0%,0%,35%,28%,36%,53%,,72%,83%,79%,79%,71%,49%,38%,33%,25%,13%,0%,,,,,,,0%,0%,40%,38%,48%,48%,,59%,80%,90%,77%,73%,60%,43%,24%,31%,19%,0%,,,,,,,0%,0%,36%,50%,45%,72%,,64%,67%,73%,93%,73%,60%,36%,27%,18%,25%,0%,,,,,,,0%,0%,32%,45%,56%,58%,,71%,68%,70%,67%,90%,54%,50%,31%,11%,7%,0%,,,,,,,0%,0%,26%,41%,65%,55%,,100%,86%,70%,73%,59%,72%,45%,34%,24%,3%,0%,,,,,,,0%,0%,22%,35%,50%,68%,,72%,92%,82%,68%,68%,50%,48%,27%,27%,29%,0%,,,,,,,0%,0%,19%,31%,46%,59%,,68%,76%,81%,82%,60%,58%,48%,33%,22%,21%,0%,60%,,62%,,,54%,,93%,69%,,63%,,,72%,
3,Harbour Green Park,"1199 W Cordova St, Vancouver, BC V6C 3P9",Park,49.28976,-123.12131,,,,,,,0%,0%,0%,0%,21%,23%,,46%,38%,20%,86%,39%,34%,23%,23%,0%,0%,0%,,,,,,,0%,0%,0%,0%,23%,30%,,39%,45%,34%,21%,69%,40%,30%,14%,0%,0%,0%,,,,,,,0%,0%,0%,0%,34%,45%,,27%,46%,53%,39%,31%,51%,34%,30%,0%,0%,0%,,,,,,,0%,0%,0%,0%,30%,44%,,55%,29%,55%,51%,33%,27%,36%,35%,0%,0%,0%,,,,,,,0%,0%,0%,0%,18%,38%,,85%,47%,25%,57%,52%,25%,21%,23%,0%,0%,0%,,,,,,,0%,0%,0%,0%,25%,31%,,36%,100%,37%,29%,48%,45%,19%,14%,0%,0%,0%,,,,,,,0%,0%,0%,0%,30%,33%,,43%,20%,93%,39%,28%,33%,39%,21%,0%,0%,0%,38%,,29%,,,49%,,69%,43%,,47%,,,41%,
4,Coal Harbour Park,"323 Jervis St, Vancouver, BC V6C 3P8",Park,49.2906,-123.12392,,,,,,0%,19%,34%,8%,43%,45%,40%,,64%,39%,84%,45%,45%,33%,32%,36%,18%,0%,,,,,,,0%,11%,41%,33%,18%,40%,54%,,82%,58%,37%,80%,53%,38%,24%,25%,35%,0%,,,,,,,0%,26%,10%,49%,31%,25%,40%,,60%,96%,49%,40%,60%,49%,27%,27%,27%,0%,,,,,,,0%,28%,40%,15%,47%,37%,40%,,51%,58%,100%,30%,38%,47%,48%,17%,23%,0%,,,,,,,0%,21%,42%,45%,33%,47%,44%,,50%,41%,50%,85%,28%,36%,29%,33%,15%,0%,,,,,,,0%,5%,33%,51%,42%,43%,53%,,67%,47%,38%,43%,66%,26%,39%,14%,22%,0%,,,,,,,0%,23%,7%,45%,40%,29%,58%,,42%,86%,55%,37%,42%,51%,30%,33%,7%,0%,,67%,,43%,,,60%,,42%,55%,,44%,,,60%,
5,Devonian Harbour Park,"1929 W Georgia St, Vancouver, BC V6G 2W9",Park,49.294,-123.13468,,,,,,0%,15%,15%,17%,21%,8%,12%,,48%,22%,67%,32%,31%,32%,12%,20%,15%,0%,,,,,,,0%,15%,6%,13%,22%,12%,13%,,53%,35%,24%,63%,21%,13%,27%,11%,15%,0%,,,,,,,0%,2%,13%,3%,21%,43%,10%,,31%,73%,31%,20%,59%,15%,6%,15%,21%,0%,,,,,,,0%,11%,1%,17%,6%,34%,49%,,39%,50%,94%,27%,20%,44%,13%,3%,6%,0%,,,,,,,0%,16%,7%,2%,17%,18%,32%,,25%,40%,51%,100%,30%,26%,44%,26%,5%,0%,,,,,,,0%,5%,20%,3%,5%,21%,35%,,64%,31%,48%,44%,65%,22%,22%,31%,22%,0%,,,,,,,0%,11%,8%,20%,2%,12%,35%,,29%,72%,26%,48%,34%,36%,20%,18%,31%,0%,,49%,,18%,,,26%,,16%,62%,,41%,,,45%,
6,Cardero Park,"1601 Bayshore Drive (@, Cardero St, Vancouver, BC",Park,49.29233,-123.12916,,,,,,0%,15%,7%,15%,0%,0%,23%,,46%,76%,7%,0%,7%,23%,0%,0%,46%,0%,,,,,,,0%,61%,7%,0%,0%,0%,0%,,100%,61%,30%,7%,0%,7%,30%,0%,7%,0%,,,,,,,0%,0%,53%,7%,0%,7%,0%,,0%,69%,38%,7%,15%,0%,0%,7%,7%,0%,,,,,,,0%,15%,15%,69%,23%,0%,23%,,0%,0%,61%,38%,7%,7%,0%,0%,0%,0%,,,,,,,0%,69%,15%,23%,69%,46%,15%,,0%,0%,0%,15%,15%,23%,15%,7%,0%,0%,,,,,,,0%,53%,30%,7%,30%,30%,30%,,61%,0%,0%,0%,7%,7%,46%,30%,15%,0%,,,,,,,0%,0%,38%,7%,0%,23%,23%,,92%,30%,0%,0%,15%,0%,0%,53%,61%,0%,,38%,,7%,,,0%,,0%,61%,,46%,,,46%,
7,Art Phillips Park,"625 Burrard St, Vancouver, BC V6C 0A4",Park,49.28567,-123.12026,,,,,,0%,31%,6%,25%,12%,0%,0%,,6%,18%,12%,6%,12%,12%,12%,25%,18%,0%,,,,,,,0%,6%,50%,6%,18%,6%,12%,,12%,12%,56%,12%,0%,12%,25%,31%,50%,0%,,,,,,,0%,25%,6%,31%,12%,25%,0%,,6%,6%,31%,68%,37%,6%,6%,12%,31%,0%,,,,,,,0%,18%,6%,18%,25%,25%,12%,,75%,18%,6%,31%,50%,62%,0%,0%,6%,0%,,,,,,,0%,6%,25%,0%,43%,6%,18%,,6%,100%,12%,0%,12%,25%,50%,0%,6%,0%,,,,,,,0%,6%,12%,18%,0%,25%,0%,,31%,25%,50%,12%,0%,0%,18%,37%,6%,0%,,,,,,,0%,18%,12%,31%,12%,0%,6%,,12%,25%,18%,18%,12%,12%,12%,12%,18%,0%,,6%,,0%,,,43%,,0%,12%,,18%,,,0%,
8,Morton Park,"1800 Morton Ave, Vancouver, BC",Park,49.28759,-123.14192,,25%,7%,2%,11%,10%,5%,5%,10%,4%,38%,35%,,45%,76%,17%,54%,50%,61%,19%,26%,8%,23%,8%,,1%,27%,4%,1%,13%,4%,2%,11%,17%,8%,54%,,20%,54%,64%,25%,50%,58%,48%,5%,16%,7%,10%,,5%,1%,22%,5%,2%,23%,1%,1%,29%,39%,20%,,60%,20%,51%,58%,22%,47%,55%,26%,1%,17%,8%,,5%,7%,4%,11%,1%,4%,33%,7%,0%,30%,45%,,85%,58%,25%,61%,45%,39%,29%,41%,13%,0%,14%,,8%,5%,4%,7%,8%,0%,19%,27%,16%,1%,45%,,41%,100%,52%,41%,60%,33%,44%,20%,23%,2%,1%,,16%,14%,8%,1%,4%,11%,0%,27%,22%,41%,8%,,41%,35%,64%,55%,42%,66%,19%,47%,10%,23%,2%,,10%,7%,16%,4%,2%,4%,7%,0%,45%,25%,41%,,72%,33%,41%,66%,63%,33%,50%,17%,36%,5%,14%,39%,8%,54%,7%,4%,79%,5%,22%,55%,17%,51%,4%,10%,25%,
9,Cathedral Square,"566 Richards St, Vancouver, BC V6B 1X4",Park,49.28247,-123.11379,,,,,,,0%,0%,15%,53%,15%,26%,,7%,23%,23%,69%,26%,30%,19%,38%,19%,26%,0%,,,,,,,0%,0%,19%,19%,57%,15%,,15%,26%,19%,23%,84%,15%,30%,7%,42%,7%,0%,,,,,,,0%,0%,3%,30%,42%,73%,,11%,19%,53%,15%,26%,96%,11%,38%,7%,38%,0%,,,,,,,0%,0%,42%,0%,46%,34%,,50%,11%,19%,73%,3%,19%,84%,23%,42%,15%,0%,,,,,,,0%,0%,11%,26%,0%,38%,,100%,46%,19%,26%,69%,7%,15%,46%,23%,30%,0%,,,,,,,0%,0%,19%,19%,26%,0%,,46%,88%,26%,15%,38%,46%,15%,15%,15%,23%,0%,,,,,,,0%,0%,34%,23%,23%,19%,,38%,34%,84%,30%,23%,30%,46%,11%,34%,3%,0%,30%,,19%,,,38%,,76%,46%,,30%,,,0%,
10,Ceperley Park Playground,"8701 Stanley Park Dr, Vancouver, BC V6G 3E2",Playground,49.29358,-123.14872,,,,,,0%,15%,7%,23%,7%,53%,7%,,38%,69%,92%,30%,23%,61%,38%,23%,92%,0%,,,,,,,0%,30%,30%,0%,46%,0%,38%,,30%,23%,61%,46%,15%,7%,69%,23%,53%,0%,,,,,,,0%,7%,7%,15%,0%,46%,15%,,23%,30%,38%,38%,30%,23%,15%,30%,0%,0%,,,,,,,0%,23%,23%,0%,15%,15%,76%,,53%,30%,61%,61%,23%,38%,38%,30%,15%,0%,,,,,,,0%,0%,23%,46%,0%,23%,23%,,30%,53%,61%,84%,38%,7%,46%,69%,46%,0%,,,,,,,0%,0%,0%,30%,61%,7%,53%,,100%,23%,61%,38%,76%,38%,23%,38%,61%,0%,,,,,,,0%,0%,15%,0%,61%,23%,15%,,46%,92%,23%,46%,38%,61%,23%,46%,7%,0%,,23%,,0%,,,38%,,15%,69%,,23%,,,46%,
11,Coal Harbour Park Playground,"500 Broughton St, Vancouver, BC V6G 3E3",Playground,49.2899,-123.12568,,,,,,0%,4%,57%,23%,19%,0%,23%,,23%,19%,19%,4%,4%,76%,14%,28%,9%,4%,,,,,,,0%,42%,9%,76%,33%,4%,0%,,23%,19%,23%,23%,4%,28%,71%,9%,42%,9%,,,,,,,0%,23%,19%,19%,52%,80%,4%,,19%,47%,4%,9%,19%,14%,47%,61%,9%,23%,,,,,,,0%,19%,14%,19%,9%,61%,100%,,28%,42%,90%,0%,4%,23%,23%,90%,66%,4%,,,,,,,0%,42%,9%,28%,23%,4%,47%,,19%,61%,19%,100%,4%,4%,14%,42%,47%,71%,,,,,,,0%,42%,38%,0%,47%,38%,4%,,57%,9%,28%,23%,47%,9%,9%,4%,57%,33%,,,,,,,0%,38%,28%,19%,0%,57%,19%,,33%,47%,14%,14%,38%,19%,28%,19%,0%,42%,,9%,,23%,,,14%,,19%,100%,,28%,,,19%,
12,Creekside Park,"1455 Quebec St, Vancouver, BC V6A 3Z7",Park,49.27338,-123.10383,,,,,,0%,7%,15%,15%,15%,18%,27%,,23%,29%,78%,46%,35%,35%,50%,27%,18%,0%,,,,,,,0%,5%,11%,16%,24%,18%,25%,,59%,26%,32%,78%,49%,39%,29%,44%,24%,0%,,,,,,,0%,6%,8%,13%,14%,32%,23%,,38%,83%,32%,35%,70%,42%,34%,21%,38%,0%,,,,,,,0%,9%,11%,15%,14%,17%,44%,,27%,44%,100%,35%,38%,56%,34%,27%,15%,0%,,,,,,,0%,7%,12%,13%,21%,15%,21%,,33%,25%,46%,99%,37%,33%,40%,27%,15%,0%,,,,,,,0%,3%,11%,15%,17%,28%,19%,,64%,36%,27%,43%,79%,35%,29%,27%,23%,0%,,,,,,,0%,11%,9%,13%,17%,22%,35%,,26%,73%,43%,30%,42%,65%,32%,21%,17%,0%,,43%,,32%,,,27%,,28%,53%,,25%,,,21%,
13,Wendy Poole Park,"199 Alexander St, Vancouver, BC V6A 1B8",Park,49.28428,-123.09955,,18%,45%,36%,63%,81%,18%,100%,0%,27%,9%,0%,,27%,9%,0%,0%,0%,0%,18%,45%,36%,27%,9%,,18%,36%,81%,9%,54%,36%,27%,72%,0%,36%,18%,,0%,54%,18%,0%,9%,0%,0%,9%,18%,36%,18%,,0%,18%,36%,9%,9%,54%,9%,18%,27%,0%,18%,,18%,0%,90%,63%,0%,27%,9%,0%,9%,0%,36%,,18%,18%,0%,9%,0%,9%,36%,0%,18%,9%,0%,,18%,27%,0%,36%,72%,0%,54%,27%,9%,27%,9%,,81%,0%,27%,9%,0%,0%,27%,9%,0%,36%,9%,,9%,18%,63%,9%,27%,100%,9%,27%,36%,18%,27%,,18%,63%,0%,45%,27%,0%,0%,9%,0%,0%,27%,,0%,27%,9%,27%,18%,27%,45%,9%,18%,45%,36%,,27%,27%,18%,90%,27%,72%,9%,9%,0%,0%,0%,,9%,0%,9%,9%,9%,18%,72%,36%,27%,18%,18%,0%,18%,0%,0%,27%,18%,63%,18%,0%,18%,0%,18%,27%,9%,
