index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 a.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 a.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 a.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 a.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times_Thursday 12 a.m.,popular_times
0,JOEY Burrard,"820 Burrard St, Vancouver, BC V6Z 1X9",Restaurant,49.28261,-123.12319,,,,,,,0%,,0%,0%,0%,23%,,53%,,42%,40%,61%,32%,88%,96%,,46%,30%,,,,,,,0%,0%,,0%,0%,33%,,66%,67%,,46%,42%,58%,30%,88%,84%,,43%,,,,,,,0%,0%,0%,,0%,21%,,37%,61%,76%,,60%,46%,53%,27%,88%,85%,,,,,,,,0%,0%,0%,0%,,22%,,63%,40%,50%,80%,,82%,44%,52%,29%,78%,75%,,,,,,,0%,0%,0%,0%,0%,,,47%,54%,35%,55%,86%,,88%,37%,42%,29%,71%,,38%,,,,,0%,0%,0%,0%,0%,22%,,53%,46%,53%,38%,63%,100%,,75%,38%,41%,30%,,34%,,,,,,0%,0%,0%,0%,43%,,,55%,38%,61%,38%,73%,100%,,63%,32%,34%,23%,63%,22%,34%,21%,56%,35%,59%,47%,49%,16%,38%,,,
1,The Old Spaghetti Factory,"53 Water St, Vancouver, BC V6B 1A1",Italian restaurant,49.28396,-123.10546,,,,,,,0%,0%,0%,0%,0%,19%,,68%,37%,34%,77%,64%,53%,48%,84%,29%,0%,0%,,,,,,,0%,0%,0%,0%,0%,23%,,40%,79%,41%,38%,79%,78%,52%,36%,66%,0%,0%,,,,,,,0%,0%,0%,0%,0%,27%,,35%,42%,86%,46%,45%,77%,84%,42%,20%,0%,0%,,,,,,,0%,0%,0%,0%,0%,20%,,46%,36%,42%,92%,53%,50%,68%,78%,28%,0%,0%,,,,,,,0%,0%,0%,0%,0%,20%,,62%,50%,38%,43%,100%,56%,46%,53%,59%,0%,0%,,,,,,,0%,0%,0%,0%,0%,28%,,31%,71%,50%,39%,46%,99%,55%,38%,34%,0%,0%,,,,,,,0%,0%,0%,0%,0%,18%,,34%,31%,74%,54%,48%,51%,95%,45%,23%,0%,0%,,31%,,27%,,37%,46%,,27%,,,48%,28%,,
2,La Taqueria Pinche Taco,"322 W Hastings St, Vancouver, BC V6B 1K6",Taco restaurant,49.28296,-123.11056,,,,,,,0%,0%,0%,0%,0%,33%,,17%,39%,11%,63%,81%,47%,40%,60%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,27%,,21%,36%,33%,17%,60%,95%,34%,40%,39%,0%,0%,,,,,,,0%,0%,0%,0%,0%,0%,,34%,24%,50%,34%,26%,47%,100%,23%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,33%,,39%,30%,21%,62%,49%,33%,39%,76%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,23%,,49%,34%,26%,17%,69%,65%,37%,28%,44%,0%,0%,,,,,,,0%,0%,0%,0%,0%,0%,,33%,60%,42%,39%,21%,75%,66%,30%,0%,0%,0%,,,,,,,0%,0%,0%,0%,0%,14%,,50%,20%,59%,56%,43%,28%,76%,43%,0%,0%,0%,,23%,,42%,,36%,33%,,42%,,,7%,42%,,
3,Earls Kitchen + Bar,"905 Hornby St, Vancouver, BC V6Z 1V3",Restaurant,49.28156,-123.12372,,,,,,,,0%,0%,0%,0%,24%,,,29%,22%,62%,77%,53%,100%,,43%,40%,11%,,,,,,,0%,,0%,0%,16%,17%,,42%,,27%,32%,63%,89%,56%,92%,,39%,25%,,,,,,,0%,0%,,0%,0%,25%,,39%,46%,,31%,46%,63%,98%,55%,94%,,30%,,,,,,,0%,0%,0%,,0%,25%,,35%,34%,50%,,41%,62%,54%,93%,45%,90%,,,,,,,,0%,0%,0%,0%,,22%,,41%,40%,35%,62%,,46%,71%,43%,93%,39%,83%,,,,,,,0%,0%,0%,0%,15%,,,32%,49%,48%,37%,78%,,51%,66%,31%,90%,25%,,,,,,,0%,0%,0%,0%,0%,29%,,39%,25%,51%,58%,44%,94%,,49%,55%,20%,72%,47%,38%,,37%,,30%,36%,,34%,53%,,,39%,,
4,Italian Kitchen,"860 Burrard St, Vancouver, BC V6Z 1X9",Italian restaurant,49.2826,-123.12353,,,,,,,0%,0%,0%,0%,0%,26%,,31%,35%,23%,37%,54%,60%,47%,100%,35%,0%,0%,,,,,,,0%,0%,0%,0%,0%,20%,,28%,37%,29%,29%,50%,73%,68%,32%,88%,0%,0%,,,,,,,0%,0%,0%,0%,0%,12%,,32%,25%,46%,39%,37%,69%,84%,64%,16%,70%,0%,,,,,,,0%,0%,0%,0%,0%,22%,,50%,25%,21%,50%,49%,47%,79%,75%,51%,0%,0%,,,,,,,0%,0%,0%,0%,0%,20%,,35%,48%,20%,27%,63%,62%,46%,73%,51%,0%,0%,,,,,,,0%,0%,0%,0%,0%,10%,,36%,35%,37%,28%,37%,82%,59%,41%,47%,33%,0%,,,,,,,0%,0%,0%,0%,0%,19%,,33%,30%,33%,35%,42%,49%,95%,50%,25%,0%,0%,,26%,,31%,,38%,27%,,36%,,,20%,36%,,
5,Gringo Gastown,"27 Blood Alley Square, Vancouver, BC V6B 0C4",Tex-Mex restaurant,49.28336,-123.10532,,,,,,,0%,,0%,0%,0%,0%,,38%,,29%,36%,35%,31%,71%,78%,,38%,48%,,,,,,,0%,0%,,0%,0%,0%,,21%,40%,,31%,39%,35%,40%,71%,86%,,38%,,,,,,,0%,0%,0%,,0%,0%,,27%,23%,43%,,45%,39%,31%,40%,81%,89%,,,,,,,,0%,0%,0%,0%,,0%,,28%,30%,29%,47%,,52%,39%,31%,34%,88%,83%,,,,,,,0%,0%,0%,0%,0%,,,29%,23%,29%,44%,55%,,52%,41%,47%,25%,100%,,39%,,,,,0%,0%,0%,0%,0%,0%,,29%,38%,27%,24%,59%,63%,,45%,44%,62%,17%,,58%,,,,,,0%,0%,0%,0%,0%,,,28%,38%,30%,24%,66%,70%,,39%,48%,68%,50%,16%,37%,22%,23%,26%,20%,59%,23%,82%,15%,34%,,,
6,Pholicious,"430 W Pender St, Vancouver, BC V6B 1L6",Vietnamese restaurant,49.28302,-123.11275,,,,,,,,0%,0%,0%,35%,62%,,,78%,29%,55%,36%,32%,0%,,0%,0%,0%,,,,,,,0%,,0%,0%,17%,40%,,75%,,55%,28%,50%,43%,0%,0%,,0%,0%,,,,,,,0%,0%,,0%,35%,33%,,93%,63%,,43%,14%,48%,0%,0%,0%,,0%,,,,,,,0%,0%,0%,,31%,44%,,40%,71%,55%,,21%,12%,0%,0%,0%,0%,,,,,,,,0%,0%,0%,0%,,59%,,71%,29%,41%,44%,,8%,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,17%,,,58%,74%,22%,35%,40%,,0%,0%,0%,0%,0%,,,,,,,0%,0%,0%,0%,25%,43%,,93%,43%,59%,32%,31%,33%,,0%,0%,0%,0%,,67%,,100%,,47%,62%,,58%,,,,94%,,
7,Nightingale,"1017 W Hastings St, Vancouver, BC V6E 0C4",Canadian restaurant,49.28738,-123.11749,,,,,,,0%,0%,0%,0%,0%,50%,,58%,76%,70%,65%,88%,84%,66%,99%,67%,30%,0%,,,,,,,0%,0%,0%,0%,0%,52%,,56%,63%,73%,71%,75%,90%,88%,62%,92%,50%,0%,,,,,,,0%,0%,0%,0%,0%,20%,,79%,56%,77%,85%,83%,83%,98%,88%,52%,79%,36%,,,,,,,0%,0%,0%,0%,0%,52%,,89%,66%,59%,88%,91%,88%,74%,95%,70%,35%,54%,,,,,,,0%,0%,0%,0%,0%,51%,,41%,88%,60%,65%,92%,96%,90%,57%,78%,43%,0%,,,,,,,0%,0%,0%,0%,0%,31%,,84%,42%,87%,64%,67%,100%,90%,77%,35%,58%,0%,,,,,,,0%,0%,0%,0%,0%,33%,,79%,79%,52%,84%,69%,64%,96%,78%,56%,21%,33%,,54%,,73%,,83%,32%,,81%,,,46%,73%,,
8,Hawksworth Restaurant,"801 W Georgia St, Vancouver, BC V6C 1P7",Pacific Northwest restaurant (Canada),49.28344,-123.11921,,,,,,,0%,0%,0%,0%,0%,37%,,74%,70%,58%,28%,54%,54%,41%,88%,32%,0%,0%,,,,,,,0%,0%,0%,0%,0%,48%,,51%,71%,57%,43%,34%,52%,53%,34%,65%,0%,0%,,,,,,,0%,0%,0%,0%,0%,18%,,68%,47%,60%,51%,36%,43%,60%,46%,26%,37%,0%,,,,,,,0%,0%,0%,0%,0%,49%,,72%,62%,44%,65%,45%,33%,41%,62%,31%,0%,0%,,,,,,,0%,0%,0%,0%,0%,44%,,38%,57%,58%,41%,80%,49%,38%,29%,55%,0%,0%,,,,,,,0%,0%,0%,0%,0%,36%,,71%,32%,55%,54%,40%,100%,51%,34%,18%,43%,0%,,,,,,,0%,0%,0%,0%,0%,43%,,73%,68%,34%,46%,56%,45%,97%,40%,24%,0%,0%,,52%,,56%,,62%,34%,,61%,,,60%,62%,,
9,JAPADOG,"530 Robson St, Vancouver, BC V6B 2B7",Hot dog restaurant,49.28025,-123.11839,,,,,,,,,0%,0%,,,,,,83%,67%,,,,,,82%,65%,,,,,,,,,,0%,29%,,,,,,85%,79%,,,,,,71%,,33%,,,,,,,,,29%,47%,,,,,,91%,82%,,,,,,,47%,19%,,,,,,,,,49%,,,,,,,99%,81%,,,,,,,37%,13%,,,0%,,,,,,,70%,,,,,,100%,77%,,,,,,,21%,,,0%,0%,,,,,,81%,63%,,,,,,96%,75%,,,,,,,,,,0%,0%,,,,,,84%,66%,,,,,,93%,70%,,,,47%,,58%,,64%,,67%,,,,,,
