index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Thursday 12 a.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.
0,CIBC Branch with ATM,"501 Main St, Vancouver, BC V6A 2V2",Bank,49.2898576,-123.1257873,None,None,None,None,None,None,None,0%,0%,23%,41%,92%,None,None,75%,86%,55%,0%,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,48%,41%,44%,None,88%,None,70%,63%,0%,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,44%,79%,57%,None,83%,73%,None,63%,0%,0%,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,67%,97%,None,58%,76%,64%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,0%,35%,None,72%,None,60%,54%,73%,42%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,44%,64%,None,None,89%,66%,36%,64%,0%,None,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,23%,72%,94%,None,70%,92%,73%,0%,0%,0%,None,0%,0%,0%,0%,95%,92%,54%,52%,100%,72%,,,,,,,,,
1,TD Canada Trust Branch and ATM,"109 W Hastings St, Vancouver, BC V6B 1H4",Bank,49.2898576,-123.1257873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,TD Canada Trust Branch and ATM,"450 Main St, Vancouver, BC V6A 2T4",Bank,49.2898576,-123.1257873,None,None,None,None,None,None,None,0%,0%,8%,15%,50%,None,None,100%,50%,74%,0%,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,18%,17%,31%,None,54%,None,88%,42%,48%,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,30%,28%,35%,None,82%,65%,None,58%,30%,0%,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,58%,51%,None,47%,60%,67%,None,35%,0%,0%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,0%,34%,None,80%,None,55%,34%,41%,68%,None,0%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,22%,42%,None,None,64%,61%,22%,21%,45%,None,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,20%,27%,42%,None,100%,45%,84%,0%,17%,0%,None,0%,0%,0%,0%,50%,77%,41%,47%,62%,87%,,,,,,,,,
3,Scotiabank,"268 Keefer St #101, Vancouver, BC V6A 1X5",Bank,49.2792606,-123.1162439,None,None,None,None,None,None,None,0%,0%,28%,None,75%,None,None,83%,69%,0%,None,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,37%,39%,None,None,98%,None,78%,0%,0%,None,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,47%,58%,57%,None,81%,87%,None,73%,0%,0%,None,0%,0%,None,0%,None,None,None,None,None,None,None,0%,0%,None,61%,78%,None,None,76%,68%,None,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,None,0%,None,0%,52%,None,85%,None,71%,None,71%,0%,None,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,47%,79%,None,None,86%,62%,None,52%,0%,None,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,67%,88%,None,83%,79%,57%,None,0%,0%,None,0%,0%,0%,None,100%,78%,,64%,77%,84%,,,,,,,,,
4,CIBC Branch with ATM (Cash at ATM only),"783 Richards St, Vancouver, BC V6B 0M6",Bank,49.280471,-123.1356866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CIBC Branch with ATM,"400 Burrard St, Vancouver, BC V6C 3A6",Bank,49.280471,-123.1356866,None,None,None,None,None,None,None,0%,0%,33%,None,57%,None,None,66%,73%,37%,None,0%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,41%,49%,None,None,73%,None,58%,45%,0%,None,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,26%,51%,80%,None,44%,81%,None,42%,0%,0%,None,0%,0%,None,0%,None,None,None,None,None,None,None,0%,0%,None,42%,70%,None,None,47%,74%,None,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,None,0%,None,0%,41%,None,57%,None,89%,None,55%,66%,None,0%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,50%,51%,None,None,88%,71%,None,57%,0%,None,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,59%,62%,None,72%,79%,52%,None,0%,0%,None,0%,0%,0%,None,68%,45%,,100%,74%,65%,,,,,,,,,
6,TD Canada Trust Branch and ATM,"1055 Dunsmuir St, Vancouver, BC V7X 1P3",Bank,49.280471,-123.1356866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,National Bank,"805 W Pender St, Vancouver, BC V6C 1K6",Bank,49.280471,-123.1356866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,RBC Royal Bank,"400 Main St, Vancouver, BC V6A 2T5",Bank,49.2811343,-123.1172104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,TD Canada Trust Branch and ATM,"700 W Georgia St, Vancouver, BC V7Y 1A2",Bank,49.2827038,-123.1370545,None,None,None,None,None,None,None,0%,0%,21%,35%,50%,None,None,83%,68%,66%,0%,62%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,21%,36%,54%,None,65%,None,89%,66%,53%,0%,41%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,20%,35%,49%,None,69%,68%,None,92%,55%,0%,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,35%,47%,None,93%,74%,69%,None,88%,0%,0%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,0%,22%,None,50%,None,66%,100%,78%,64%,None,72%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,21%,36%,None,None,62%,70%,87%,81%,52%,None,48%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,18%,35%,50%,None,74%,66%,72%,0%,76%,0%,None,0%,0%,0%,0%,60%,62%,74%,60%,57%,64%,,,,,,,,,
