index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 p.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 a.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 p.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.,popular_times
0,Liberty Market,"6 E Hastings St, Vancouver, BC V6A 1N1",Grocery store,49.2898576,-123.1257873,None,3%,24%,21%,15%,30%,18%,9%,15%,27%,12%,84%,None,69%,54%,42%,84%,39%,66%,93%,51%,45%,30%,33%,None,39%,3%,24%,6%,15%,21%,9%,18%,27%,45%,30%,None,75%,78%,48%,42%,84%,39%,66%,81%,63%,21%,12%,None,15%,21%,9%,9%,12%,21%,21%,6%,12%,30%,69%,None,66%,90%,84%,51%,54%,100%,51%,54%,66%,69%,9%,None,12%,12%,6%,24%,9%,24%,30%,12%,6%,12%,45%,None,39%,57%,87%,78%,54%,69%,90%,69%,51%,57%,57%,None,21%,30%,12%,9%,9%,15%,12%,57%,21%,21%,27%,None,93%,33%,51%,75%,60%,57%,63%,84%,66%,36%,48%,None,12%,18%,36%,24%,3%,3%,24%,9%,69%,33%,51%,None,72%,81%,42%,63%,75%,48%,60%,51%,54%,57%,24%,None,42%,18%,18%,18%,18%,3%,6%,21%,3%,78%,63%,None,57%,60%,69%,39%,66%,84%,45%,54%,45%,45%,45%,66%,45%,75%,27%,6%,39%,6%,90%,63%,30%,48%,45%,9%,63%,
1,Carrall supermarket,"302 Carrall St, Vancouver, BC V6A 4G8",Supermarket,49.2898576,-123.1257873,None,None,None,None,None,0%,41%,4%,50%,58%,20%,8%,None,29%,41%,12%,45%,33%,70%,33%,62%,33%,8%,70%,None,None,None,None,None,0%,12%,25%,4%,54%,37%,8%,None,29%,62%,16%,25%,25%,29%,54%,33%,79%,25%,12%,None,None,None,None,None,0%,29%,8%,29%,12%,29%,33%,None,29%,45%,91%,8%,62%,29%,45%,58%,50%,83%,37%,None,None,None,None,None,0%,58%,37%,8%,25%,12%,29%,None,25%,37%,29%,54%,0%,50%,20%,37%,54%,37%,70%,None,None,None,None,None,0%,8%,45%,29%,12%,8%,16%,None,4%,50%,87%,25%,25%,0%,66%,37%,16%,25%,50%,None,None,None,None,None,0%,25%,25%,45%,37%,20%,4%,None,8%,8%,33%,83%,25%,12%,4%,29%,41%,20%,16%,None,None,None,None,None,0%,20%,41%,50%,45%,12%,41%,None,37%,0%,20%,29%,100%,54%,37%,12%,20%,50%,33%,29%,66%,8%,37%,29%,12%,37%,12%,20%,41%,41%,37%,16%,4%,
2,Nesters Market,"333 Abbott St, Vancouver, BC V6B 0G6",Supermarket,49.2898576,-123.1257873,None,None,None,None,None,None,0%,0%,38%,24%,59%,63%,None,86%,80%,95%,98%,93%,84%,65%,45%,0%,0%,0%,None,None,None,None,None,None,0%,0%,27%,45%,32%,73%,None,84%,91%,84%,99%,98%,88%,72%,45%,0%,0%,0%,None,None,None,None,None,None,0%,0%,17%,45%,51%,50%,None,67%,87%,93%,86%,93%,81%,78%,53%,0%,0%,0%,None,None,None,None,None,None,0%,0%,29%,30%,54%,49%,None,89%,74%,98%,96%,82%,82%,65%,55%,0%,0%,0%,None,None,None,None,None,None,0%,0%,37%,46%,45%,63%,None,84%,85%,83%,100%,98%,73%,65%,41%,0%,0%,0%,None,None,None,None,None,None,0%,0%,27%,45%,56%,60%,None,67%,93%,82%,87%,97%,89%,58%,48%,0%,0%,0%,None,None,None,None,None,None,0%,0%,12%,43%,54%,66%,None,76%,79%,100%,86%,83%,84%,70%,42%,0%,0%,0%,74%,,64%,,,83%,,63%,56%,,73%,,,76%,
3,IGA,"489 Robson St, Vancouver, BC V6B 6L9",Supermarket,49.2800842,-123.1355053,None,None,None,None,None,None,0%,16%,25%,29%,40%,35%,None,70%,61%,65%,78%,80%,64%,55%,46%,32%,17%,0%,None,None,None,None,None,None,0%,0%,22%,32%,40%,47%,None,59%,80%,63%,69%,78%,80%,58%,43%,35%,21%,0%,None,None,None,None,None,None,0%,16%,18%,30%,36%,50%,None,47%,58%,93%,65%,73%,67%,71%,45%,29%,24%,0%,None,None,None,None,None,None,0%,12%,21%,27%,37%,44%,None,62%,51%,63%,100%,72%,73%,53%,58%,33%,18%,0%,None,None,None,None,None,None,0%,12%,20%,25%,39%,50%,None,66%,67%,53%,63%,91%,69%,61%,34%,41%,22%,0%,None,None,None,None,None,None,0%,0%,20%,24%,32%,51%,None,61%,69%,71%,61%,69%,78%,59%,45%,22%,29%,0%,None,None,None,None,None,None,0%,18%,15%,29%,29%,41%,None,68%,60%,76%,76%,66%,64%,60%,47%,28%,16%,0%,49%,,45%,,,55%,,58%,53%,,60%,,,61%,
4,Davie Street Your Independent Grocer Vancouver,"1255 Davie St, Vancouver, BC V6E 1N4",Grocery store,49.282425,-123.1520654,None,None,None,None,None,None,0%,10%,18%,30%,37%,41%,None,85%,65%,74%,100%,96%,81%,75%,63%,42%,31%,18%,None,None,None,None,None,None,0%,12%,19%,26%,46%,47%,None,62%,92%,74%,83%,95%,98%,71%,56%,49%,30%,22%,None,None,None,None,None,None,0%,10%,21%,26%,36%,63%,None,53%,67%,96%,84%,88%,86%,86%,57%,39%,40%,20%,None,None,None,None,None,None,0%,14%,18%,34%,35%,45%,None,63%,58%,78%,97%,93%,85%,70%,68%,43%,26%,26%,None,None,None,None,None,None,0%,11%,18%,29%,49%,43%,None,88%,68%,65%,88%,95%,89%,73%,56%,53%,31%,15%,None,None,None,None,None,None,0%,8%,17%,24%,39%,65%,None,61%,94%,75%,74%,96%,87%,74%,59%,41%,39%,21%,None,None,None,None,None,None,0%,10%,16%,27%,32%,47%,None,58%,67%,98%,85%,81%,90%,75%,56%,43%,28%,29%,56%,,48%,,,56%,,78%,54%,,53%,,,76%,
5,Urban Fare,"1133 Alberni St, Vancouver, BC V6E 4T9",Gourmet grocery store,49.2861378,-123.1422615,None,None,None,None,None,None,0%,28%,38%,19%,58%,71%,None,63%,76%,73%,57%,83%,70%,48%,30%,0%,0%,0%,None,None,None,None,None,None,0%,11%,37%,51%,32%,74%,None,80%,72%,71%,79%,59%,75%,50%,28%,0%,0%,0%,None,None,None,None,None,None,0%,19%,27%,43%,61%,43%,None,84%,77%,78%,76%,80%,54%,51%,29%,0%,0%,0%,None,None,None,None,None,None,0%,23%,36%,39%,59%,75%,None,80%,82%,72%,78%,79%,73%,54%,37%,0%,0%,0%,None,None,None,None,None,None,0%,21%,26%,45%,45%,81%,None,59%,75%,77%,74%,74%,70%,55%,39%,0%,0%,0%,None,None,None,None,None,None,0%,5%,32%,37%,55%,47%,None,81%,59%,79%,85%,71%,63%,51%,35%,0%,0%,0%,None,None,None,None,None,None,0%,23%,12%,43%,50%,60%,None,92%,76%,62%,85%,84%,63%,47%,28%,0%,0%,0%,73%,,88%,,,85%,,58%,89%,,100%,,,50%,
6,IGA,"909 Burrard St, Vancouver, BC V6Z 2N2",Supermarket,49.2861378,-123.1422615,None,None,None,None,None,None,0%,0%,15%,21%,45%,49%,None,56%,59%,65%,72%,88%,84%,59%,65%,48%,0%,0%,None,None,None,None,None,None,0%,0%,24%,26%,31%,55%,None,54%,61%,63%,79%,72%,86%,77%,42%,48%,0%,0%,None,None,None,None,None,None,0%,0%,15%,34%,36%,43%,None,62%,56%,69%,74%,93%,67%,75%,63%,27%,0%,0%,None,None,None,None,None,None,0%,0%,21%,25%,43%,47%,None,58%,61%,62%,75%,87%,100%,57%,59%,43%,0%,0%,None,None,None,None,None,None,0%,0%,22%,28%,36%,52%,None,58%,59%,62%,70%,82%,86%,88%,42%,44%,0%,0%,None,None,None,None,None,None,0%,0%,25%,33%,36%,46%,None,60%,64%,63%,70%,80%,83%,76%,69%,28%,0%,0%,None,None,None,None,None,None,0%,0%,14%,36%,43%,44%,None,63%,59%,70%,78%,79%,71%,78%,63%,48%,0%,0%,52%,,59%,,,58%,,51%,55%,,61%,,,51%,
7,Meinhardt Fine Foods,"609 Granville St, Vancouver, BC V7Y 1E8",Gourmet grocery store,49.2861378,-123.1422615,None,None,None,None,None,None,0%,0%,50%,41%,19%,35%,None,29%,66%,61%,43%,50%,64%,43%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,54%,50%,69%,27%,None,27%,29%,61%,67%,70%,43%,46%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,58%,43%,59%,None,61%,25%,35%,64%,72%,85%,30%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,62%,17%,61%,45%,None,45%,53%,30%,50%,50%,56%,100%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,41%,66%,19%,74%,None,43%,48%,56%,20%,59%,46%,40%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,20%,38%,46%,20%,None,58%,43%,53%,61%,27%,75%,32%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,25%,29%,37%,None,74%,53%,50%,46%,82%,45%,66%,0%,0%,0%,0%,25%,,48%,,,38%,,59%,56%,,82%,,,22%,
8,H-Mart Downtown,"590 Robson St #200, Vancouver, BC V6B 2B7",Grocery store,49.2861378,-123.1422615,None,None,None,None,None,None,0%,0%,0%,16%,42%,48%,None,81%,68%,68%,85%,86%,67%,56%,55%,27%,0%,0%,None,None,None,None,None,None,0%,0%,0%,17%,28%,57%,None,65%,92%,69%,68%,77%,84%,57%,37%,36%,0%,0%,None,None,None,None,None,None,0%,0%,0%,20%,33%,42%,None,70%,63%,100%,73%,69%,64%,70%,42%,21%,0%,0%,None,None,None,None,None,None,0%,0%,0%,22%,38%,54%,None,75%,68%,65%,99%,77%,65%,49%,56%,24%,0%,0%,None,None,None,None,None,None,0%,0%,0%,23%,37%,55%,None,74%,72%,65%,72%,91%,72%,54%,34%,38%,0%,0%,None,None,None,None,None,None,0%,0%,0%,21%,35%,52%,None,80%,85%,74%,67%,75%,81%,60%,37%,22%,0%,0%,None,None,None,None,None,None,0%,0%,0%,24%,32%,49%,None,71%,75%,89%,80%,70%,70%,68%,44%,21%,0%,0%,62%,,67%,,,71%,,58%,77%,,75%,,,68%,
9,Urban Fare,"305 Bute St, Vancouver, BC V6C 3T6",Gourmet grocery store,49.2861378,-123.1422615,None,None,None,None,None,None,0%,22%,35%,38%,59%,84%,None,72%,71%,70%,69%,76%,63%,41%,31%,0%,0%,0%,None,None,None,None,None,None,0%,14%,34%,45%,51%,82%,None,87%,75%,66%,80%,62%,64%,48%,23%,0%,0%,0%,None,None,None,None,None,None,0%,25%,26%,45%,57%,63%,None,97%,83%,73%,67%,86%,52%,48%,29%,0%,0%,0%,None,None,None,None,None,None,0%,13%,29%,36%,62%,73%,None,99%,86%,77%,70%,72%,80%,42%,32%,0%,0%,0%,None,None,None,None,None,None,0%,20%,27%,38%,48%,79%,None,76%,97%,74%,76%,64%,58%,58%,28%,0%,0%,0%,None,None,None,None,None,None,0%,16%,29%,44%,52%,60%,None,77%,76%,87%,69%,70%,55%,39%,39%,0%,0%,0%,None,None,None,None,None,None,0%,25%,26%,43%,62%,74%,None,86%,69%,76%,83%,70%,58%,45%,19%,0%,0%,0%,90%,,100%,,,94%,,71%,83%,,91%,,,67%,
