index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 p.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 p.m.,popular_times_Sunday 12 p.m.,popular_times_Tuesday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times,popular_times_Monday 12 a.m.,popular_times_Tuesday 12 a.m.,popular_times_Wednesday 12 a.m.,popular_times_Thursday 12 a.m.,popular_times_Friday 12 a.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.
0,Equinox West Georgia Street,"1131 W Georgia St, Vancouver, BC V6E 4G2",Gym,49.2862731,-123.1416203,None,None,None,None,None,16%,0%,None,37%,37%,38%,None,None,65%,None,63%,82%,82%,None,67%,0%,None,None,0%,None,None,None,None,0%,None,32%,21%,None,38%,36%,41%,None,44%,62%,None,73%,92%,88%,None,47%,0%,None,None,None,None,None,None,0%,20%,None,37%,43%,None,46%,45%,None,None,44%,55%,None,76%,93%,73%,None,29%,0%,None,None,None,None,None,0%,16%,24%,None,42%,63%,None,51%,None,43%,None,51%,51%,None,66%,75%,50%,None,None,0%,None,None,None,None,None,12%,32%,31%,None,34%,79%,None,None,50%,39%,None,60%,43%,None,51%,49%,27%,None,None,None,None,None,None,0%,None,24%,43%,33%,None,37%,78%,None,55%,56%,43%,None,72%,31%,None,31%,26%,None,None,None,None,None,None,0%,19%,None,35%,39%,37%,None,41%,None,None,60%,66%,63%,None,78%,0%,None,0%,0%,None,46%,42%,49%,53%,71%,,,,,,,,,,
1,Rumble Boxing Studio Yaletown,"968 Expo Blvd, Vancouver, BC V6Z 2W1",Boxing gym,49.2751387,-123.1331412,None,None,None,None,None,None,0%,30%,23%,25%,14%,19%,None,87%,12%,16%,0%,39%,75%,47%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,29%,14%,38%,17%,None,12%,50%,19%,35%,0%,32%,84%,35%,0%,0%,0%,None,None,None,None,None,None,0%,14%,32%,20%,8%,48%,None,3%,14%,23%,39%,64%,0%,28%,57%,0%,0%,0%,None,None,None,None,None,None,0%,19%,16%,57%,15%,11%,None,20%,3%,25%,0%,55%,76%,0%,12%,0%,0%,0%,None,None,None,None,None,None,0%,25%,17%,15%,79%,15%,None,57%,20%,14%,30%,0%,58%,67%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,15%,20%,19%,100%,None,12%,50%,26%,33%,37%,0%,55%,43%,0%,0%,0%,None,None,None,None,None,None,0%,24%,17%,14%,16%,16%,None,14%,8%,28%,32%,57%,39%,0%,46%,0%,0%,0%,11%,21%,61%,16%,97%,10%,19%,,,,,,,,
2,Team hybridtraining,"261 E Pender St, Vancouver, BC V6A 1T8",Gym,49.2804729,-123.1162268,None,None,None,None,None,None,0%,23%,3%,13%,83%,3%,None,36%,63%,16%,10%,30%,10%,None,0%,3%,0%,None,None,None,None,None,None,0%,None,13%,20%,6%,16%,36%,None,None,13%,76%,23%,10%,13%,23%,None,0%,0%,None,None,None,None,None,None,0%,16%,None,20%,6%,16%,43%,None,26%,None,6%,50%,10%,13%,3%,20%,None,0%,None,None,None,None,None,None,0%,3%,6%,None,50%,0%,10%,None,6%,23%,None,13%,33%,3%,26%,6%,23%,None,0%,None,None,None,None,None,0%,30%,23%,3%,None,46%,6%,None,53%,13%,13%,None,0%,30%,0%,13%,3%,0%,None,None,None,None,None,None,0%,0%,50%,63%,0%,None,63%,None,13%,33%,23%,10%,None,0%,16%,0%,6%,0%,None,None,None,None,None,None,0%,43%,0%,23%,100%,0%,None,None,43%,20%,30%,50%,6%,None,0%,13%,6%,0%,None,,13%,60%,10%,70%,13%,13%,,,,,,,,
3,West Coast Strength & Movement,"560 Beatty St L300, Vancouver, BC V6B 2L3",Gym,49.2801579,-123.1275935,None,None,None,None,None,None,0%,16%,None,33%,0%,16%,None,25%,25%,None,41%,0%,50%,None,0%,0%,None,0%,None,None,None,None,None,0%,None,0%,8%,None,33%,0%,None,None,8%,50%,None,66%,0%,91%,None,0%,0%,None,None,None,None,None,None,0%,58%,None,16%,0%,None,8%,None,50%,None,0%,33%,None,100%,16%,58%,None,0%,None,None,None,None,None,None,0%,8%,66%,None,16%,8%,None,None,8%,66%,None,0%,41%,None,41%,41%,0%,None,0%,None,None,None,None,None,None,66%,16%,41%,None,50%,25%,None,0%,33%,66%,None,0%,33%,None,16%,0%,0%,None,None,None,None,None,None,0%,None,66%,8%,58%,None,41%,None,None,8%,33%,33%,None,0%,50%,None,0%,0%,None,None,None,None,None,None,0%,33%,None,41%,0%,33%,None,None,16%,None,8%,8%,50%,None,0%,66%,None,0%,None,,0%,8%,,58%,16%,16%,,,,,,,,
4,Yard Athletics,"307 W Pender St, Vancouver, BC V6B 1T3",Gym,49.2801579,-123.1275935,None,None,None,None,None,None,0%,73%,None,6%,13%,6%,None,0%,33%,None,40%,53%,80%,None,0%,0%,None,0%,None,None,None,None,None,0%,None,0%,86%,None,20%,6%,None,None,0%,60%,None,33%,73%,66%,None,0%,0%,None,None,None,None,None,None,0%,40%,None,13%,86%,None,40%,None,13%,None,0%,46%,None,60%,66%,0%,None,0%,None,None,None,None,None,None,0%,20%,33%,None,26%,40%,None,None,46%,26%,None,0%,73%,None,26%,0%,0%,None,0%,None,None,None,None,None,None,13%,20%,53%,None,46%,40%,None,20%,20%,53%,None,0%,86%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,13%,40%,20%,None,60%,None,None,13%,13%,80%,None,0%,53%,None,0%,0%,None,None,None,None,None,None,0%,33%,None,0%,20%,6%,None,None,33%,None,26%,20%,80%,None,0%,0%,None,0%,None,,26%,33%,,0%,20%,20%,,,,,,,,
5,Groundwork Athletics Inc,"736 Granville St, Vancouver, BC V6Z 1G3",Gym,49.281852,-123.1365324,None,None,None,None,None,None,51%,40%,11%,None,45%,42%,None,20%,17%,34%,None,0%,60%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,31%,22%,22%,None,28%,None,None,34%,40%,60%,None,0%,77%,None,0%,0%,None,None,None,None,None,None,0%,17%,None,25%,11%,42%,None,None,8%,None,20%,48%,91%,None,0%,0%,None,0%,None,None,None,None,None,None,None,0%,37%,None,11%,5%,37%,None,2%,5%,None,17%,37%,94%,None,0%,0%,None,None,None,None,None,None,None,0%,None,31%,77%,None,17%,14%,None,None,0%,20%,None,8%,42%,100%,None,0%,0%,None,None,None,None,None,None,0%,8%,None,25%,57%,None,11%,None,20%,None,2%,42%,None,11%,34%,0%,None,0%,None,None,None,None,None,None,0%,42%,5%,None,37%,45%,None,None,8%,22%,None,5%,60%,None,0%,0%,0%,None,0%,,17%,,45%,20%,20%,5%,,,,,,,,
6,Alpha Club Fitness,"261 E Pender St, Vancouver, BC V6A 1T8",Personal trainer,49.2806307,-123.1162208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Denman Athletics,"911 Denman St #206, Vancouver, BC V6G 2L9",Gym,49.2903432,-123.1554564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Fitness World,"1185 W Georgia St #200, Vancouver, BC V6E 4E6",Gym,49.2872573,-123.1427436,None,None,None,None,None,15%,0%,None,38%,41%,53%,None,None,62%,None,73%,82%,100%,None,77%,32%,None,None,0%,None,None,None,None,0%,None,30%,25%,None,41%,40%,62%,None,72%,54%,None,82%,93%,96%,None,59%,0%,None,None,None,None,None,None,0%,16%,None,42%,39%,None,47%,49%,None,None,70%,49%,None,90%,88%,79%,None,39%,0%,None,None,None,None,None,0%,22%,30%,None,45%,52%,None,56%,None,70%,None,74%,47%,None,82%,76%,56%,None,None,0%,None,None,None,None,None,17%,35%,41%,None,47%,61%,None,None,65%,64%,None,81%,48%,None,59%,54%,32%,None,None,None,None,None,None,0%,None,27%,45%,44%,None,48%,66%,None,68%,65%,71%,None,87%,45%,None,35%,34%,None,None,None,None,None,None,0%,21%,None,35%,43%,45%,None,58%,None,None,69%,71%,86%,None,83%,41%,None,0%,0%,None,70%,71%,62%,63%,66%,,,,,,,,,,
9,Studeo Gyms Vancouver,"847 Hornby St, Vancouver, BC V6Z 2G3",Gym,49.2872573,-123.1427436,None,None,None,None,None,18%,28%,10%,None,2%,23%,None,None,31%,21%,None,55%,0%,None,13%,0%,0%,None,None,None,None,None,None,0%,None,15%,28%,5%,None,2%,23%,None,23%,15%,23%,None,100%,0%,None,0%,0%,None,None,None,None,None,None,0%,21%,None,15%,34%,2%,None,5%,None,None,31%,15%,44%,None,71%,0%,None,0%,None,None,None,None,None,None,None,21%,0%,None,26%,39%,0%,None,None,13%,None,31%,28%,47%,None,44%,0%,None,None,None,None,None,None,None,0%,None,28%,0%,None,42%,34%,2%,None,5%,0%,None,28%,31%,36%,None,0%,0%,None,None,None,None,None,None,0%,7%,None,23%,18%,None,31%,28%,None,None,5%,0%,None,28%,36%,21%,None,0%,0%,None,None,None,None,None,0%,28%,7%,None,7%,26%,None,21%,None,13%,None,31%,0%,None,15%,28%,0%,None,None,0%,23%,13%,5%,,34%,,5%,,,,,,,,
