index,name,address,category,latitude,longitude,popular_times_Monday 0 a.m.,popular_times_Monday 1 a.m.,popular_times_Monday 2 a.m.,popular_times_Monday 3 a.m.,popular_times_Monday 4 a.m.,popular_times_Monday 5 a.m.,popular_times_Monday 6 a.m.,popular_times_Monday 7 a.m.,popular_times_Monday 8 a.m.,popular_times_Monday 9 a.m.,popular_times_Monday 10 a.m.,popular_times_Monday 11 a.m.,popular_times_Monday 0 p.m.,popular_times_Monday 1 p.m.,popular_times_Monday 2 p.m.,popular_times_Monday 3 p.m.,popular_times_Monday 4 p.m.,popular_times_Monday 5 p.m.,popular_times_Monday 6 p.m.,popular_times_Monday 7 p.m.,popular_times_Monday 8 p.m.,popular_times_Monday 9 p.m.,popular_times_Monday 10 p.m.,popular_times_Monday 11 p.m.,popular_times_Tuesday 0 a.m.,popular_times_Tuesday 1 a.m.,popular_times_Tuesday 2 a.m.,popular_times_Tuesday 3 a.m.,popular_times_Tuesday 4 a.m.,popular_times_Tuesday 5 a.m.,popular_times_Tuesday 6 a.m.,popular_times_Tuesday 7 a.m.,popular_times_Tuesday 8 a.m.,popular_times_Tuesday 9 a.m.,popular_times_Tuesday 10 a.m.,popular_times_Tuesday 11 a.m.,popular_times_Tuesday 0 p.m.,popular_times_Tuesday 1 p.m.,popular_times_Tuesday 2 p.m.,popular_times_Tuesday 3 p.m.,popular_times_Tuesday 4 p.m.,popular_times_Tuesday 5 p.m.,popular_times_Tuesday 6 p.m.,popular_times_Tuesday 7 p.m.,popular_times_Tuesday 8 p.m.,popular_times_Tuesday 9 p.m.,popular_times_Tuesday 10 p.m.,popular_times_Tuesday 11 p.m.,popular_times_Wednesday 0 a.m.,popular_times_Wednesday 1 a.m.,popular_times_Wednesday 2 a.m.,popular_times_Wednesday 3 a.m.,popular_times_Wednesday 4 a.m.,popular_times_Wednesday 5 a.m.,popular_times_Wednesday 6 a.m.,popular_times_Wednesday 7 a.m.,popular_times_Wednesday 8 a.m.,popular_times_Wednesday 9 a.m.,popular_times_Wednesday 10 a.m.,popular_times_Wednesday 11 a.m.,popular_times_Wednesday 0 p.m.,popular_times_Wednesday 1 p.m.,popular_times_Wednesday 2 p.m.,popular_times_Wednesday 3 p.m.,popular_times_Wednesday 4 p.m.,popular_times_Wednesday 5 p.m.,popular_times_Wednesday 6 p.m.,popular_times_Wednesday 7 p.m.,popular_times_Wednesday 8 p.m.,popular_times_Wednesday 9 p.m.,popular_times_Wednesday 10 p.m.,popular_times_Wednesday 11 p.m.,popular_times_Thursday 0 a.m.,popular_times_Thursday 1 a.m.,popular_times_Thursday 2 a.m.,popular_times_Thursday 3 a.m.,popular_times_Thursday 4 a.m.,popular_times_Thursday 5 a.m.,popular_times_Thursday 6 a.m.,popular_times_Thursday 7 a.m.,popular_times_Thursday 8 a.m.,popular_times_Thursday 9 a.m.,popular_times_Thursday 10 a.m.,popular_times_Thursday 11 a.m.,popular_times_Thursday 0 p.m.,popular_times_Thursday 1 p.m.,popular_times_Thursday 2 p.m.,popular_times_Thursday 3 p.m.,popular_times_Thursday 4 p.m.,popular_times_Thursday 5 p.m.,popular_times_Thursday 6 p.m.,popular_times_Thursday 7 p.m.,popular_times_Thursday 8 p.m.,popular_times_Thursday 9 p.m.,popular_times_Thursday 10 p.m.,popular_times_Thursday 11 p.m.,popular_times_Friday 0 a.m.,popular_times_Friday 1 a.m.,popular_times_Friday 2 a.m.,popular_times_Friday 3 a.m.,popular_times_Friday 4 a.m.,popular_times_Friday 5 a.m.,popular_times_Friday 6 a.m.,popular_times_Friday 7 a.m.,popular_times_Friday 8 a.m.,popular_times_Friday 9 a.m.,popular_times_Friday 10 a.m.,popular_times_Friday 11 a.m.,popular_times_Friday 0 p.m.,popular_times_Friday 1 p.m.,popular_times_Friday 2 p.m.,popular_times_Friday 3 p.m.,popular_times_Friday 4 p.m.,popular_times_Friday 5 p.m.,popular_times_Friday 6 p.m.,popular_times_Friday 7 p.m.,popular_times_Friday 8 p.m.,popular_times_Friday 9 p.m.,popular_times_Friday 10 p.m.,popular_times_Friday 11 p.m.,popular_times_Saturday 0 a.m.,popular_times_Saturday 1 a.m.,popular_times_Saturday 2 a.m.,popular_times_Saturday 3 a.m.,popular_times_Saturday 4 a.m.,popular_times_Saturday 5 a.m.,popular_times_Saturday 6 a.m.,popular_times_Saturday 7 a.m.,popular_times_Saturday 8 a.m.,popular_times_Saturday 9 a.m.,popular_times_Saturday 10 a.m.,popular_times_Saturday 11 a.m.,popular_times_Saturday 0 p.m.,popular_times_Saturday 1 p.m.,popular_times_Saturday 2 p.m.,popular_times_Saturday 3 p.m.,popular_times_Saturday 4 p.m.,popular_times_Saturday 5 p.m.,popular_times_Saturday 6 p.m.,popular_times_Saturday 7 p.m.,popular_times_Saturday 8 p.m.,popular_times_Saturday 9 p.m.,popular_times_Saturday 10 p.m.,popular_times_Saturday 11 p.m.,popular_times_Sunday 0 a.m.,popular_times_Sunday 1 a.m.,popular_times_Sunday 2 a.m.,popular_times_Sunday 3 a.m.,popular_times_Sunday 4 a.m.,popular_times_Sunday 5 a.m.,popular_times_Sunday 6 a.m.,popular_times_Sunday 7 a.m.,popular_times_Sunday 8 a.m.,popular_times_Sunday 9 a.m.,popular_times_Sunday 10 a.m.,popular_times_Sunday 11 a.m.,popular_times_Sunday 0 p.m.,popular_times_Sunday 1 p.m.,popular_times_Sunday 2 p.m.,popular_times_Sunday 3 p.m.,popular_times_Sunday 4 p.m.,popular_times_Sunday 5 p.m.,popular_times_Sunday 6 p.m.,popular_times_Sunday 7 p.m.,popular_times_Sunday 8 p.m.,popular_times_Sunday 9 p.m.,popular_times_Sunday 10 p.m.,popular_times_Sunday 11 p.m.,popular_times_Monday 12 a.m.,popular_times_Monday 12 p.m.,popular_times_Tuesday 12 a.m.,popular_times_Tuesday 12 p.m.,popular_times_Wednesday 12 a.m.,popular_times_Wednesday 12 p.m.,popular_times_Thursday 12 p.m.,popular_times_Friday 12 a.m.,popular_times_Friday 12 p.m.,popular_times_Saturday 12 a.m.,popular_times_Sunday 12 a.m.,popular_times_Sunday 12 p.m.,popular_times_Saturday 12 p.m.,popular_times_Thursday 12 a.m.,popular_times
0,JOEY Burrard,"820 Burrard St, Vancouver, BC V6Z 1X9",Restaurant,49.282606,-123.1412123,None,None,None,None,None,None,0%,None,0%,0%,0%,23%,None,53%,None,42%,40%,61%,32%,88%,96%,None,46%,30%,None,None,None,None,None,None,0%,0%,None,0%,0%,33%,None,66%,67%,None,46%,42%,58%,30%,88%,84%,None,43%,None,None,None,None,None,None,0%,0%,0%,None,0%,21%,None,37%,61%,76%,None,60%,46%,53%,27%,88%,85%,None,None,None,None,None,None,None,0%,0%,0%,0%,None,22%,None,63%,40%,50%,80%,None,82%,44%,52%,29%,78%,75%,None,None,None,None,None,None,0%,0%,0%,0%,0%,None,None,47%,54%,35%,55%,86%,None,88%,37%,42%,29%,71%,None,38%,None,None,None,None,0%,0%,0%,0%,0%,22%,None,53%,46%,53%,38%,63%,100%,None,75%,38%,41%,30%,None,34%,None,None,None,None,None,0%,0%,0%,0%,43%,None,None,55%,38%,61%,38%,73%,100%,None,63%,32%,34%,23%,63%,22%,34%,21%,56%,35%,59%,47%,49%,16%,38%,,,
1,The Old Spaghetti Factory,"53 Water St, Vancouver, BC V6B 1A1",Italian restaurant,49.2838482,-123.1233535,None,None,None,None,None,None,0%,0%,0%,0%,0%,19%,None,68%,37%,34%,77%,64%,53%,48%,84%,29%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,23%,None,40%,79%,41%,38%,79%,78%,52%,36%,66%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,27%,None,35%,42%,86%,46%,45%,77%,84%,42%,20%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,20%,None,46%,36%,42%,92%,53%,50%,68%,78%,28%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,20%,None,62%,50%,38%,43%,100%,56%,46%,53%,59%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,28%,None,31%,71%,50%,39%,46%,99%,55%,38%,34%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,18%,None,34%,31%,74%,54%,48%,51%,95%,45%,23%,0%,0%,,31%,,27%,,37%,46%,,27%,,,48%,28%,,
2,La Taqueria Pinche Taco,"322 W Hastings St, Vancouver, BC V6B 1K6",Taco restaurant,49.2838482,-123.1233535,None,None,None,None,None,None,0%,0%,0%,0%,0%,33%,None,17%,39%,11%,63%,81%,47%,40%,60%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,27%,None,21%,36%,33%,17%,60%,95%,34%,40%,39%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,0%,None,34%,24%,50%,34%,26%,47%,100%,23%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,33%,None,39%,30%,21%,62%,49%,33%,39%,76%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,23%,None,49%,34%,26%,17%,69%,65%,37%,28%,44%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,0%,None,33%,60%,42%,39%,21%,75%,66%,30%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,14%,None,50%,20%,59%,56%,43%,28%,76%,43%,0%,0%,0%,,23%,,42%,,36%,33%,,42%,,,7%,42%,,
3,Earls Kitchen + Bar,"905 Hornby St, Vancouver, BC V6Z 1V3",Restaurant,49.2815632,-123.1417464,None,None,None,None,None,None,None,0%,0%,0%,0%,24%,None,None,29%,22%,62%,77%,53%,100%,None,43%,40%,11%,None,None,None,None,None,None,0%,None,0%,0%,16%,17%,None,42%,None,27%,32%,63%,89%,56%,92%,None,39%,25%,None,None,None,None,None,None,0%,0%,None,0%,0%,25%,None,39%,46%,None,31%,46%,63%,98%,55%,94%,None,30%,None,None,None,None,None,None,0%,0%,0%,None,0%,25%,None,35%,34%,50%,None,41%,62%,54%,93%,45%,90%,None,None,None,None,None,None,None,0%,0%,0%,0%,None,22%,None,41%,40%,35%,62%,None,46%,71%,43%,93%,39%,83%,None,None,None,None,None,None,0%,0%,0%,0%,15%,None,None,32%,49%,48%,37%,78%,None,51%,66%,31%,90%,25%,None,None,None,None,None,None,0%,0%,0%,0%,0%,29%,None,39%,25%,51%,58%,44%,94%,None,49%,55%,20%,72%,47%,38%,,37%,,30%,36%,,34%,53%,,,39%,,
4,Italian Kitchen,"860 Burrard St, Vancouver, BC V6Z 1X9",Italian restaurant,49.2815632,-123.1417464,None,None,None,None,None,None,0%,0%,0%,0%,0%,26%,None,31%,35%,23%,37%,54%,60%,47%,100%,35%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,20%,None,28%,37%,29%,29%,50%,73%,68%,32%,88%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,12%,None,32%,25%,46%,39%,37%,69%,84%,64%,16%,70%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,22%,None,50%,25%,21%,50%,49%,47%,79%,75%,51%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,20%,None,35%,48%,20%,27%,63%,62%,46%,73%,51%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,10%,None,36%,35%,37%,28%,37%,82%,59%,41%,47%,33%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,19%,None,33%,30%,33%,35%,42%,49%,95%,50%,25%,0%,0%,,26%,,31%,,38%,27%,,36%,,,20%,36%,,
5,Gringo Gastown,"27 Blood Alley Square, Vancouver, BC V6B 0C4",Tex-Mex restaurant,49.2832,-123.1233855,None,None,None,None,None,None,0%,None,0%,0%,0%,0%,None,38%,None,29%,36%,35%,31%,71%,78%,None,38%,48%,None,None,None,None,None,None,0%,0%,None,0%,0%,0%,None,21%,40%,None,31%,39%,35%,40%,71%,86%,None,38%,None,None,None,None,None,None,0%,0%,0%,None,0%,0%,None,27%,23%,43%,None,45%,39%,31%,40%,81%,89%,None,None,None,None,None,None,None,0%,0%,0%,0%,None,0%,None,28%,30%,29%,47%,None,52%,39%,31%,34%,88%,83%,None,None,None,None,None,None,0%,0%,0%,0%,0%,None,None,29%,23%,29%,44%,55%,None,52%,41%,47%,25%,100%,None,39%,None,None,None,None,0%,0%,0%,0%,0%,0%,None,29%,38%,27%,24%,59%,63%,None,45%,44%,62%,17%,None,58%,None,None,None,None,None,0%,0%,0%,0%,0%,None,None,28%,38%,30%,24%,66%,70%,None,39%,48%,68%,50%,16%,37%,22%,23%,26%,20%,59%,23%,82%,15%,34%,,,
6,Pholicious,"430 W Pender St, Vancouver, BC V6B 1L6",Vietnamese restaurant,49.2832,-123.1233855,None,None,None,None,None,None,None,0%,0%,0%,35%,62%,None,None,78%,29%,55%,36%,32%,0%,None,0%,0%,0%,None,None,None,None,None,None,0%,None,0%,0%,17%,40%,None,75%,None,55%,28%,50%,43%,0%,0%,None,0%,0%,None,None,None,None,None,None,0%,0%,None,0%,35%,33%,None,93%,63%,None,43%,14%,48%,0%,0%,0%,None,0%,None,None,None,None,None,None,0%,0%,0%,None,31%,44%,None,40%,71%,55%,None,21%,12%,0%,0%,0%,0%,None,None,None,None,None,None,None,0%,0%,0%,0%,None,59%,None,71%,29%,41%,44%,None,8%,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,17%,None,None,58%,74%,22%,35%,40%,None,0%,0%,0%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,25%,43%,None,93%,43%,59%,32%,31%,33%,None,0%,0%,0%,0%,,67%,,100%,,47%,62%,,58%,,,,94%,,
7,Nightingale,"1017 W Hastings St, Vancouver, BC V6E 0C4",Canadian restaurant,49.2873977,-123.1354995,None,None,None,None,None,None,0%,0%,0%,0%,0%,50%,None,58%,76%,70%,65%,88%,84%,66%,99%,67%,30%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,52%,None,56%,63%,73%,71%,75%,90%,88%,62%,92%,50%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,20%,None,79%,56%,77%,85%,83%,83%,98%,88%,52%,79%,36%,None,None,None,None,None,None,0%,0%,0%,0%,0%,52%,None,89%,66%,59%,88%,91%,88%,74%,95%,70%,35%,54%,None,None,None,None,None,None,0%,0%,0%,0%,0%,51%,None,41%,88%,60%,65%,92%,96%,90%,57%,78%,43%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,31%,None,84%,42%,87%,64%,67%,100%,90%,77%,35%,58%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,33%,None,79%,79%,52%,84%,69%,64%,96%,78%,56%,21%,33%,,54%,,73%,,83%,32%,,81%,,,46%,73%,,
8,Hawksworth Restaurant,"801 W Georgia St, Vancouver, BC V6C 1P7",Pacific Northwest restaurant (Canada),49.2873977,-123.1354995,None,None,None,None,None,None,0%,0%,0%,0%,0%,37%,None,74%,70%,58%,28%,54%,54%,41%,88%,32%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,48%,None,51%,71%,57%,43%,34%,52%,53%,34%,65%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,18%,None,68%,47%,60%,51%,36%,43%,60%,46%,26%,37%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,49%,None,72%,62%,44%,65%,45%,33%,41%,62%,31%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,44%,None,38%,57%,58%,41%,80%,49%,38%,29%,55%,0%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,36%,None,71%,32%,55%,54%,40%,100%,51%,34%,18%,43%,0%,None,None,None,None,None,None,0%,0%,0%,0%,0%,43%,None,73%,68%,34%,46%,56%,45%,97%,40%,24%,0%,0%,,52%,,56%,,62%,34%,,61%,,,60%,62%,,
9,JAPADOG,"530 Robson St, Vancouver, BC V6B 2B7",Hot dog restaurant,49.2873977,-123.1354995,None,None,None,None,None,None,None,None,0%,0%,None,None,None,None,None,83%,67%,None,None,None,None,None,82%,65%,None,None,None,None,None,None,None,None,None,0%,29%,None,None,None,None,None,85%,79%,None,None,None,None,None,71%,None,33%,None,None,None,None,None,None,None,None,29%,47%,None,None,None,None,None,91%,82%,None,None,None,None,None,None,47%,19%,None,None,None,None,None,None,None,None,49%,None,None,None,None,None,None,99%,81%,None,None,None,None,None,None,37%,13%,None,None,0%,None,None,None,None,None,None,70%,None,None,None,None,None,100%,77%,None,None,None,None,None,None,21%,None,None,0%,0%,None,None,None,None,None,81%,63%,None,None,None,None,None,96%,75%,None,None,None,None,None,None,None,None,None,0%,0%,None,None,None,None,None,84%,66%,None,None,None,None,None,93%,70%,None,,,47%,,58%,,64%,,67%,,,,,,
